author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Mark Inabinett,1,1,23.75,0.1875,0.25,0.28125,0.78125,7.03125
Chris Tomasson,2,2,23.75,0.171875,0.203125,0.421875,0.84375,6.484375
Dan Wilkins,1,1,23.75,0.15625,0.28125,0.25,0.84375,8.53125
John Clayton,2,2,23.749999999999996,0.171875,0.203125,0.421875,0.796875,7.875
Charley Casserly,2,2,23.59375,0.1875,0.234375,0.3125,0.78125,7.453125
Tony Mario,2,2,23.59375,0.1875,0.234375,0.3125,0.796875,8.6875
Jeremy Bissett,3,3,23.461021505376348,0.14684139784946237,0.28461021505376344,0.24126344086021503,0.8000672043010754,10.25739247311828
Mike Tagliere,1,1,23.4375,0.15625,0.1875,0.46875,0.75,8.28125
Kyle Dvorchak,2,2,23.28125,0.203125,0.21875,0.3125,0.84375,6.296875
Tim Murray,2,2,23.225806451612904,0.18901209677419356,0.2373991935483871,0.2842741935483871,0.8412298387096775,6.168850806451613
Dave Bryan,1,1,23.2258064516129,0.1935483870967742,0.2580645161290322,0.2258064516129032,0.7741935483870968,11.03225806451613
Kevin Fielder,1,1,23.2258064516129,0.1935483870967742,0.2580645161290322,0.2258064516129032,0.8064516129032258,8.096774193548388
Nate Bouda,3,3,23.198924731182796,0.16767473118279572,0.2415994623655914,0.30443548387096775,0.8111559139784946,9.15154569892473
Mark Morales-Smith,1,1,23.125,0.1875,0.25,0.25,0.71875,10.34375
Mauricio Rodriguez,1,1,23.125,0.1875,0.1875,0.40625,0.8125,9.0
Vinnie Iyer,5,5,23.125,0.175,0.225,0.33125,0.7875,9.4375
Derek Brown,1,1,23.125,0.15625,0.28125,0.21875,0.84375,7.09375
Skyler Carlin,1,1,23.125,0.15625,0.21875,0.375,0.75,10.8125
Lance Zierlein,6,6,22.94690860215054,0.18783602150537634,0.23555107526881722,0.2767137096774193,0.8477822580645161,6.904569892473119
Trevor Sikkema,4,4,22.903225806451612,0.18876008064516128,0.24420362903225806,0.25151209677419356,0.8422379032258065,7.680695564516129
Kyle Crabbs,2,2,22.8125,0.203125,0.234375,0.25,0.796875,7.75
Eric Walden,1,1,22.8125,0.1875,0.21875,0.3125,0.6875,11.125
Manish Mehta,1,1,22.8125,0.1875,0.21875,0.3125,0.8125,7.3125
Sam Farmer,2,2,22.65625,0.21875,0.203125,0.296875,0.859375,8.1875
Jimmy Kempski,6,6,22.622647849462368,0.1880040322580645,0.2143817204301075,0.3131720430107527,0.8373655913978495,7.951444892473119
Peter Schrager,5,5,22.502016129032256,0.1756048387096774,0.2318548387096774,0.2820564516129032,0.8425403225806452,6.6600806451612895
Alfredo Brown,1,1,22.5,0.21875,0.21875,0.25,0.84375,10.5625
Joe DiTullio,3,3,22.5,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.75,9.427083333333334
Connor Rogers,2,2,22.5,0.203125,0.203125,0.3125,0.859375,7.859375
Russell Brown,3,3,22.5,0.17842741935483872,0.2422715053763441,0.2516801075268817,0.8420698924731184,8.323924731182796
Carmen Vitali,1,1,22.5,0.15625,0.28125,0.1875,0.8125,10.0625
Matthew Jones,3,3,22.379032258064516,0.17842741935483872,0.2315188172043011,0.27251344086021506,0.8420698924731184,7.895497311827957
