author_name,mock_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Matthew Freedman,Action Network,2,2,26.09375,0.203125,0.21875,0.453125,0.796875,1.0,7.265625
Jason Pruett,DRAFTPLEX,5,5,25.993951612903224,0.2068548387096774,0.2703629032258065,0.313508064516129,0.8298387096774194,1.0,7.681854838709677
Jake Rosen,Upside Football,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,1.0,7.0
Josh Schrock,NBC Sports Bayarea,1,1,25.937500000000004,0.21875,0.25,0.34375,0.78125,1.0,6.75
Kenneth Arthur,Turf Show Times,1,1,25.937500000000004,0.21875,0.25,0.34375,0.6875,1.0,13.34375
Matt Johnson,Sportsnaut,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,1.0,4.78125
Nick Klopsis,Newsday,1,1,25.937500000000004,0.21875,0.25,0.34375,0.71875,1.0,7.03125
Richard Janvrin,Fantasy Pros,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,1.0,6.4375
Karen Guregian,Boston Herald,1,1,25.937500000000004,0.1875,0.21875,0.46875,0.71875,1.0,9.25
Chris Tomasson,Twin City Pioneer Press,1,1,25.937500000000004,0.15625,0.25,0.4375,0.78125,1.0,8.6875
John Daigle,Establish The Run,2,2,25.9375,0.21875,0.25,0.34375,0.84375,1.0,6.328125
Jacob Infante,Windy City Gridiron,3,3,25.86693548387097,0.21975806451612903,0.2513440860215054,0.33534946236559143,0.8111559139784946,1.0,8.62600806451613
Evan Wanish,Bucs Nation,2,2,25.625,0.203125,0.265625,0.3125,0.859375,1.0,8.515625
Jeff McLane,Philadelphia Inquirer,1,1,25.625,0.1875,0.25,0.375,0.875,1.0,5.03125
Justin Melo,Music City Miracles,1,1,25.625,0.1875,0.25,0.375,0.71875,1.0,13.34375
Nick Guarisco,Fantasy Law Guy,2,2,25.46875,0.203125,0.25,0.34375,0.90625,1.0,5.828125
Andrew Erickson,Fantasy Pros,4,4,25.43094758064516,0.1958165322580645,0.25907258064516125,0.33014112903225806,0.8422379032258065,1.0,7.220766129032258
Dan Parr,NFL.com,1,1,25.312500000000004,0.25,0.21875,0.34375,0.90625,1.0,5.40625
Jacob Infante,Pro Football Network,1,1,25.312500000000004,0.25,0.21875,0.34375,0.84375,1.0,11.34375
Mike Schneid,Mike Drop Sports,1,1,25.3125,0.21875,0.25,0.3125,0.8125,1.0,6.46875
Calvin Watkins,The Dallas Morning News,2,2,25.3125,0.21875,0.21875,0.390625,0.765625,1.0,7.96875
Marco Enriquez,Fantasy Pros,1,1,25.3125,0.15625,0.25,0.40625,0.84375,1.0,8.46875
Scott Smith,4 For 4,3,3,25.194892473118284,0.19892473118279572,0.26276881720430106,0.30443548387096775,0.8840725806451614,1.0,5.56619623655914
Andrew Aziz,Stampede Blue,2,2,25.15625,0.203125,0.28125,0.25,0.796875,1.0,8.203125
Jason Ramirez,Inside The Star,1,1,25.0,0.28125,0.21875,0.28125,0.78125,1.0,6.25
Daniel Spencer,NFL Spin Zone,1,1,25.0,0.21875,0.21875,0.375,0.78125,1.0,8.40625
Staff,SB Nation,1,1,25.0,0.21875,0.21875,0.375,0.875,1.0,5.34375
RJ White,Sportsline,1,1,25.0,0.2,0.3,0.2,0.9,1.0,4.5
Alex Butler,UPI,1,1,25.0,0.1875,0.25,0.34375,0.71875,1.0,9.53125
Logan Jakubajtys,Fansided,1,1,25.0,0.1875,0.25,0.34375,0.71875,1.0,11.65625
Staff,My NFL Draft,2,2,25.0,0.1875,0.21875,0.421875,0.828125,1.0,6.640625
Sean Newcomb,The Daily Targum,1,1,24.6875,0.25,0.21875,0.3125,0.8125,1.0,10.875
Cole Thompson,Texans Wire,1,1,24.6875,0.21875,0.25,0.28125,0.84375,1.0,11.0625
Roy Countryman,SI,1,1,24.6875,0.21875,0.25,0.28125,0.75,1.0,8.59375
Jeremy Hayes,Buzzfeed,1,1,24.6875,0.1875,0.28125,0.25,0.75,1.0,8.15625
Matt Fitzgerald,Whiskey Riff,1,1,24.6875,0.1875,0.21875,0.40625,0.78125,1.0,7.21875
Dan Hope,Eleven Warriors,4,4,24.531250000000004,0.21875,0.234375,0.3125,0.8203125,1.0,7.78125
Kyle Meinke,M Live,2,2,24.53125,0.1875,0.203125,0.4375,0.765625,1.0,8.265625
Jon Ledyard,Pewter Report,3,3,24.479166666666668,0.20833333333333334,0.23958333333333334,0.3125,0.8020833333333334,1.0,8.510416666666666
Josh Norris,Underdog Fantasy,5,5,24.401209677419352,0.1879032258064516,0.2574596774193548,0.2945564516129032,0.8423387096774194,1.0,6.557661290322581
Ben Axelrod,The Comeback,1,1,24.375000000000004,0.15625,0.21875,0.4375,0.78125,1.0,7.8125
James Dator,SB Nation,2,2,24.375,0.21875,0.25,0.265625,0.828125,1.0,8.390625
Andrew Callahan,Boston Herald,1,1,24.375,0.1875,0.25,0.3125,0.84375,1.0,10.09375
Ray Mencio,NFL Rough Draft,1,1,24.375,0.1875,0.25,0.3125,0.84375,1.0,5.25
Anthony Rizzuti,Panthers Wire,3,3,24.301075268817204,0.18817204301075266,0.2513440860215054,0.30443548387096775,0.830981182795699,1.0,8.31518817204301
Michael Middlehurst-Schwartz,USA Today,5,5,24.288306451612904,0.2133064516129032,0.24495967741935484,0.2820564516129032,0.8491935483870968,1.0,7.179233870967742
Anthony Staggs,4 For 4,3,3,24.28763440860215,0.167002688172043,0.27251344086021506,0.2825940860215054,0.863239247311828,1.0,6.694220430107527
Kory Woods,M Live,1,1,24.0625,0.25,0.21875,0.28125,0.8125,1.0,13.6875
Bruce Nolan,Buffalo Rumblings,1,1,24.0625,0.21875,0.25,0.25,0.8125,1.0,6.8125
Erich Richter,NY Post,1,1,24.0625,0.21875,0.25,0.25,0.84375,1.0,5.71875
Matt Kelley,Player Profiler,1,1,24.0625,0.21875,0.25,0.25,0.8125,1.0,10.53125
Ryan McCrystal,Sharp Football Analysis,1,1,24.0625,0.1875,0.28125,0.21875,0.84375,1.0,8.0
Ben Morgan,Loaded Box Podcast,1,1,24.0625,0.1875,0.21875,0.375,0.71875,1.0,9.28125
Timo Riske,Pro Football Focus,1,1,24.0625,0.1875,0.21875,0.375,0.875,1.0,8.0625
Daniel Jeremiah,NFL.com,6,6,23.98353494623656,0.18850806451612903,0.24109543010752688,0.3136760752688172,0.8323252688172044,1.0,6.802083333333333
Jason La Canfora,CBS,3,3,23.958333333333332,0.22916666666666666,0.20833333333333334,0.3333333333333333,0.8125,1.0,8.375
Mitch Vosburg,Daily Press,1,1,23.870967741935484,0.2258064516129032,0.2258064516129032,0.2903225806451613,0.8387096774193549,1.0,11.258064516129032
RJ White,CBS,3,3,23.854166666666668,0.19791666666666666,0.25,0.2708333333333333,0.84375,1.0,7.083333333333333
Russell Brown,Lions Wire,2,2,23.75,0.203125,0.234375,0.296875,0.84375,1.0,7.9375
Dylan Mickanen,NBC Sports Northwest,1,1,23.75,0.1875,0.25,0.28125,0.75,1.0,9.53125
Joe Serpico,Press Box,1,1,23.75,0.1875,0.25,0.28125,0.84375,1.0,7.25
Mark Inabinett,AL.com,1,1,23.75,0.1875,0.25,0.28125,0.78125,1.0,7.03125
Dan Wilkins,The Score,1,1,23.75,0.15625,0.28125,0.25,0.84375,1.0,8.53125
John Clayton,Washington Post,2,2,23.749999999999996,0.171875,0.203125,0.421875,0.796875,1.0,7.875
Charley Casserly,NFL.com,2,2,23.59375,0.1875,0.234375,0.3125,0.78125,1.0,7.453125
Tony Mario,Draft Utopia,2,2,23.59375,0.1875,0.234375,0.3125,0.796875,1.0,8.6875
Staff,Tankathon,5,5,23.500000000000004,0.2125,0.225,0.29375,0.8375,1.0,6.69375
Jeremy Bissett,The Huddle Report,3,3,23.461021505376348,0.14684139784946237,0.28461021505376344,0.24126344086021503,0.8000672043010754,1.0,10.25739247311828
Scott Smith,Buccaneers.com,1,1,23.4375,0.1875,0.21875,0.34375,0.8125,1.0,6.71875
Staff,The Athletic,1,1,23.4375,0.15625,0.25,0.3125,0.8125,1.0,6.875
Mike Tagliere,Fantasy Pros,1,1,23.4375,0.15625,0.1875,0.46875,0.75,1.0,8.28125
Kyle Dvorchak,NBC Sports,2,2,23.28125,0.203125,0.21875,0.3125,0.84375,1.0,6.296875
Tim Murray,VSIN,2,2,23.225806451612904,0.18901209677419356,0.2373991935483871,0.2842741935483871,0.8412298387096775,1.0,6.168850806451613
Dave Bryan,Steelers Depot,1,1,23.2258064516129,0.1935483870967742,0.2580645161290322,0.2258064516129032,0.7741935483870968,1.0,11.03225806451613
Kevin Fielder,Vikings Wire,1,1,23.2258064516129,0.1935483870967742,0.2580645161290322,0.2258064516129032,0.8064516129032258,1.0,8.096774193548388
Nate Bouda,NFL Trade Rumors,3,3,23.198924731182796,0.16767473118279572,0.2415994623655914,0.30443548387096775,0.8111559139784946,1.0,9.15154569892473
Staff,NFL Draft Rite,1,1,23.125,0.21875,0.21875,0.28125,0.75,1.0,9.875
Kevin Hanson,EDS Football,1,1,23.125,0.1875,0.25,0.25,0.78125,1.0,7.0
Mark Morales-Smith,Sports Illustrated,1,1,23.125,0.1875,0.25,0.25,0.71875,1.0,10.34375
Mauricio Rodriguez,Inside The Star,1,1,23.125,0.1875,0.1875,0.40625,0.8125,1.0,9.0
Derek Brown,Fantasy Pros,1,1,23.125,0.15625,0.28125,0.21875,0.84375,1.0,7.09375
Skyler Carlin,Clutch Points,1,1,23.125,0.15625,0.21875,0.375,0.75,1.0,10.8125
Zack Pearson,247 Sports,2,2,23.124999999999996,0.203125,0.234375,0.265625,0.828125,1.0,8.328125
Lance Zierlein,NFL.com,6,6,22.94690860215054,0.18783602150537634,0.23555107526881722,0.2767137096774193,0.8477822580645161,1.0,6.904569892473119
Trevor Sikkema,Pro Football Focus,4,4,22.903225806451612,0.18876008064516128,0.24420362903225806,0.25151209677419356,0.8422379032258065,1.0,7.680695564516129
Nick Guarisco,Action Network,3,2,22.83266129032258,0.15927419354838707,0.25504032258064513,0.26512096774193544,0.8511424731182796,1.0,7.401209677419355
Eric Walden,The Salt Lake Tribune,1,1,22.8125,0.1875,0.21875,0.3125,0.6875,1.0,11.125
Manish Mehta,NY Daily News,1,1,22.8125,0.1875,0.21875,0.3125,0.8125,1.0,7.3125
John Daigle,4 For 4,2,2,22.757056451612904,0.1748991935483871,0.25504032258064513,0.2379032258064516,0.8412298387096775,1.0,8.373487903225806
Sam Farmer,LA Times,2,2,22.65625,0.21875,0.203125,0.296875,0.859375,1.0,8.1875
Liam Blutman,Barstool Sports,2,2,22.65625,0.203125,0.21875,0.28125,0.828125,1.0,10.453125
Ryan Wilson,CBS,7,6,22.64976958525346,0.18346774193548385,0.23732718894009214,0.2639688940092166,0.8027073732718895,1.0,9.525921658986176
Jimmy Kempski,Philly Voice,6,6,22.622647849462368,0.1880040322580645,0.2143817204301075,0.3131720430107527,0.8373655913978495,1.0,7.951444892473119
Peter Schrager,NFL.com,5,5,22.502016129032256,0.1756048387096774,0.2318548387096774,0.2820564516129032,0.8425403225806452,1.0,6.6600806451612895
Alfredo Brown,Football Guys,1,1,22.5,0.21875,0.21875,0.25,0.84375,1.0,10.5625
Joe DiTullio,The Game Haus,3,3,22.5,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.75,1.0,9.427083333333334
Connor Rogers,NBC Sports,2,2,22.5,0.203125,0.203125,0.3125,0.859375,1.0,7.859375
Russell Brown,Fantasy Pros,3,3,22.5,0.17842741935483872,0.2422715053763441,0.2516801075268817,0.8420698924731184,1.0,8.323924731182796
Michael Renner,Pro Football Focus,2,2,22.5,0.171875,0.234375,0.28125,0.796875,1.0,9.265625
Carmen Vitali,The Draft Network,1,1,22.5,0.15625,0.28125,0.1875,0.8125,1.0,10.0625
Staff,Drafticipation,1,1,22.5,0.15625,0.21875,0.34375,0.90625,1.0,7.5
Matthew Jones,Fantasy Pros,3,3,22.379032258064516,0.17842741935483872,0.2315188172043011,0.27251344086021506,0.8420698924731184,1.0,7.895497311827957
Staff,Drafttek,5,5,22.362903225806452,0.16310483870967743,0.22641129032258064,0.30745967741935487,0.7483870967741936,1.0,9.427822580645161
Danny Parkins,Fox Sports,1,1,22.1875,0.21875,0.1875,0.3125,0.875,1.0,10.5
Jess Overby,Black And Teal,1,1,22.1875,0.1875,0.21875,0.28125,0.71875,1.0,11.25
Jeff Bell,Football Guys,2,2,22.03125,0.203125,0.21875,0.25,0.859375,1.0,8.421875
Micky McKeon,Mockout,2,2,22.03125,0.1875,0.203125,0.3125,0.765625,1.0,9.578125
John McClain,Houston Chronicle,2,2,22.03125,0.171875,0.1875,0.375,0.71875,1.0,9.0
Sean Koerner,Action Network,3,3,21.93212365591398,0.1797715053763441,0.2211021505376344,0.27419354838709675,0.8528225806451614,1.0,6.766801075268817
Matt Robinson,Battle Red Blog,1,1,21.875,0.1875,0.25,0.1875,0.875,1.0,7.75
Vinnie Iyer,Sporting News,6,5,21.875,0.171875,0.203125,0.328125,0.78125,1.0,9.484375
Ryan Kramer,Sports Gambling Podcast,1,1,21.875,0.15625,0.21875,0.3125,0.8125,1.0,7.21875
Mike Kiwak,Bucs Nation,4,4,21.703629032258064,0.18850806451612903,0.22076612903225806,0.2505040322580645,0.8031754032258065,1.0,8.33366935483871
Brad Spielberger,Pro Football Focus,1,1,21.61290322580645,0.1290322580645161,0.2903225806451613,0.1612903225806451,0.8709677419354839,1.0,7.032258064516129
Chris Tomasson,Denver Gazette,1,1,21.5625,0.1875,0.15625,0.40625,0.90625,1.0,4.28125
Brad Biggs,Chicago Tribune,2,2,21.5625,0.171875,0.203125,0.3125,0.796875,1.0,7.375
Rob Staton,Seahawks Draft Blog,3,3,21.5625,0.16666666666666666,0.21875,0.28125,0.8333333333333334,1.0,8.645833333333334
Donnie Druin,SI,1,1,21.5625,0.15625,0.25,0.21875,0.84375,1.0,9.125
Pete Fiutak,College Football News,3,3,21.5625,0.15625,0.20833333333333334,0.3229166666666667,0.75,1.0,9.447916666666666
