author_name,mocks_scraped,years_covered,avg_site_completion_percentage,avg_exact_pick_match_rate,avg_team_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Dan Parr,1,1,27.88,0.25,0.21875,0.90625,1.0,5.40625
Jared Wasserman,1,1,27.88,0.21875,0.34375,0.8125,1.0,6.90625
Reuben Frank,1,1,27.88,0.21875,0.28125,0.8125,1.0,6.625
Daniel Kitchen,1,1,27.88,0.21875,0.25,0.75,1.0,8.25
Charles Davis,5,5,27.404000000000003,0.23125,0.25625,0.81875,1.0,7.33125
Matt Rooney,1,1,27.4,0.25,0.28125,0.875,1.0,5.34375
Nick Klopsis,1,1,27.4,0.21875,0.25,0.71875,1.0,7.03125
Jacob Camenker,7,6,27.3,0.23703917050691242,0.28225806451612906,0.838565668202765,1.0,7.014400921658987
Jeff Ratcliffe,2,2,27.28,0.234375,0.265625,0.875,1.0,5.140625
Tyler Lauletta,1,1,27.16,0.2258064516129032,0.3548387096774194,0.7096774193548387,1.0,9.580645161290322
Eric Edholm,2,2,26.92,0.234375,0.296875,0.8125,1.0,7.671875
Mike Schneid,1,1,26.92,0.21875,0.25,0.8125,1.0,6.46875
Josh Schrock,1,1,26.68,0.21875,0.25,0.78125,1.0,6.75
Charlie Campbell,6,6,26.643333333333334,0.2594758064516129,0.34931451612903225,0.8278965053763442,1.0,6.601344086021506
Scotty Payne,5,5,26.634000000000004,0.24495967741935484,0.27620967741935487,0.823991935483871,1.0,7.9957661290322575
Erich Richter,1,1,26.44,0.21875,0.25,0.84375,1.0,5.71875
Danny Kelly,2,2,25.965,0.25,0.234375,0.828125,1.0,6.75
Sam Teets,2,2,25.84,0.21875,0.265625,0.84375,1.0,6.25
Ben Axelrod,4,4,25.7825,0.21169354838709678,0.24344758064516128,0.803679435483871,1.0,7.569808467741936
Andrew Falce,1,1,25.72,0.21875,0.25,0.8125,1.0,7.25
Jacob Infante,4,4,25.66,0.22731854838709678,0.24319556451612903,0.819304435483871,1.0,9.305443548387096
Richie Bradshaw,2,2,25.6,0.21875,0.265625,0.796875,1.0,11.609375
Scott Smith,7,6,25.548571428571428,0.2236463133640553,0.26440092165898615,0.8476382488479263,1.0,6.113191244239631
Sean Newcomb,1,1,25.48,0.25,0.21875,0.8125,1.0,10.875
Kory Woods,1,1,25.24,0.25,0.21875,0.8125,1.0,13.6875
Mauricio Rodriguez,1,1,25.24,0.1875,0.1875,0.8125,1.0,9.0
Joe DiTullio,3,3,25.0,0.20833333333333334,0.20833333333333334,0.75,1.0,9.427083333333334
Alex Butler,1,1,25.0,0.1875,0.25,0.71875,1.0,9.53125
Logan Jakubajtys,1,1,25.0,0.1875,0.25,0.71875,1.0,11.65625
Mike Freeman,1,1,25.0,0.1875,0.25,0.78125,1.0,9.0
John Daigle,5,5,24.904000000000003,0.21370967741935484,0.25826612903225804,0.842741935483871,1.0,7.1493951612903235
Steve Serby,5,5,24.854000000000003,0.2258064516129032,0.26391129032258065,0.8425403225806452,1.0,7.317741935483871
Jason Ramirez,1,1,24.76,0.28125,0.21875,0.78125,1.0,6.25
Conor Orr,1,1,24.76,0.21875,0.28125,0.75,1.0,8.46875
Jess Overby,1,1,24.76,0.1875,0.21875,0.71875,1.0,11.25
Tony Mario,2,2,24.64,0.1875,0.234375,0.796875,1.0,8.6875
Sam Farmer,2,2,24.634999999999998,0.21875,0.203125,0.859375,1.0,8.1875
Connor Rogers,2,2,24.520000000000003,0.203125,0.203125,0.859375,1.0,7.859375
Bruce Nolan,1,1,24.52,0.21875,0.25,0.8125,1.0,6.8125
Alfredo Brown,1,1,24.52,0.21875,0.21875,0.84375,1.0,10.5625
Theo Mackie,1,1,24.52,0.21875,0.1875,0.8125,1.0,10.625
Ray Mencio,1,1,24.52,0.1875,0.25,0.84375,1.0,5.25
Kyle Meinke,2,2,24.4,0.1875,0.203125,0.765625,1.0,8.265625
Dan Hope,4,4,24.3375,0.21875,0.234375,0.8203125,1.0,7.78125
Eddie Brown,4,4,24.3375,0.2036290322580645,0.27469758064516125,0.8109879032258065,1.0,7.8671875
Matt Johnson,1,1,24.28,0.21875,0.25,0.875,1.0,4.78125
Nick Guarisco,6,5,24.278333333333336,0.19942876344086022,0.26293682795698925,0.8526545698924731,1.0,7.231854838709677
Andrew Erickson,5,5,24.229999999999997,0.2004032258064516,0.251008064516129,0.8300403225806452,1.0,7.226612903225806
Josh Norris,6,6,24.118333333333336,0.19304435483870966,0.2614247311827957,0.8321572580645161,1.0,7.011592741935484
Jeremy Hayes,1,1,24.04,0.1875,0.28125,0.75,1.0,8.15625
Dylan Mickanen,1,1,24.04,0.1875,0.25,0.75,1.0,9.53125
Jason Pruett,5,5,23.990000000000002,0.2068548387096774,0.2703629032258065,0.8298387096774194,1.0,7.681854838709677
Kyle Crabbs,2,2,23.92,0.203125,0.234375,0.796875,1.0,7.75
Richard Janvrin,1,1,23.8,0.21875,0.25,0.875,1.0,6.4375
Keith Lott,1,1,23.8,0.1875,0.3125,0.8125,1.0,8.9375
Calvin Watkins,4,4,23.677500000000002,0.18825604838709678,0.20438508064516128,0.803679435483871,1.0,7.467237903225806
Evan Wanish,2,2,23.560000000000002,0.203125,0.265625,0.859375,1.0,8.515625
Cole Thompson,1,1,23.56,0.21875,0.25,0.84375,1.0,11.0625
Kyle Dvorchak,2,2,23.44,0.203125,0.21875,0.84375,1.0,6.296875
Rob Maaddi,1,1,23.32,0.2580645161290322,0.2903225806451613,0.7741935483870968,1.0,7.838709677419355
Karen Guregian,1,1,23.32,0.1875,0.21875,0.71875,1.0,9.25
Michael Middlehurst-Schwartz,5,5,23.316,0.2133064516129032,0.24495967741935484,0.8491935483870968,1.0,7.179233870967742
John McClain,2,2,23.314999999999998,0.171875,0.1875,0.71875,1.0,9.0
Jon Ledyard,3,3,22.99666666666667,0.20833333333333334,0.23958333333333334,0.8020833333333334,1.0,8.510416666666666
Johnny McGonigal,1,1,22.84,0.25,0.28125,0.875,1.0,5.90625
Danny Parkins,1,1,22.84,0.21875,0.1875,0.875,1.0,10.5
Charley Casserly,2,2,22.84,0.1875,0.234375,0.78125,1.0,7.453125
Chris Tomasson,2,2,22.84,0.171875,0.203125,0.84375,1.0,6.484375
John Clayton,2,2,22.835,0.171875,0.203125,0.796875,1.0,7.875
Daniel Harms,1,1,22.6,0.21875,0.15625,0.78125,1.0,13.0625
Eric Walden,1,1,22.6,0.1875,0.21875,0.6875,1.0,11.125
Barry Wilner,1,1,22.6,0.15625,0.15625,0.78125,1.0,7.46875
Cam Inman,2,2,22.595,0.171875,0.15625,0.796875,1.0,7.359375
Daniel Jeremiah,6,6,22.516666666666666,0.18850806451612903,0.24109543010752688,0.8323252688172044,1.0,6.802083333333333
Timo Riske,1,1,22.36,0.1875,0.21875,0.875,1.0,8.0625
James Dator,2,2,22.355,0.21875,0.25,0.828125,1.0,8.390625
Zack Pearson,3,3,22.276666666666667,0.1875,0.21875,0.8020833333333334,1.0,8.145833333333334
Andrew Aziz,2,2,22.235,0.203125,0.28125,0.796875,1.0,8.203125
James Rapien,1,1,22.12,0.21875,0.3125,0.78125,1.0,10.40625
Bill Huber,1,1,22.12,0.21875,0.1875,0.875,1.0,11.5
Cam Garrity,1,1,22.12,0.1875,0.28125,0.8125,1.0,8.71875
Scott Reynolds,1,1,22.12,0.1875,0.1875,0.8125,1.0,11.375
Trevor Sikkema,4,4,22.115000000000002,0.18876008064516128,0.24420362903225806,0.8422379032258065,1.0,7.680695564516129
Matt Kelley,1,1,21.88,0.21875,0.25,0.8125,1.0,10.53125
Dave Kluge,1,1,21.88,0.21875,0.15625,0.75,1.0,13.375
Jeff McLane,1,1,21.88,0.1875,0.25,0.875,1.0,5.03125
Parker Gabriel,1,1,21.88,0.1875,0.1875,0.78125,1.0,10.0625
Ari Meirov,1,1,21.88,0.1875,0.15625,0.84375,1.0,11.4375
Jon Witt,1,1,21.88,0.15625,0.21875,0.875,1.0,5.59375
Luis Tirado Jr.,1,1,21.88,0.15625,0.15625,0.71875,1.0,11.59375
Vinnie Iyer,6,5,21.876666666666665,0.171875,0.203125,0.78125,1.0,9.484375
Russell Brown,5,3,21.826,0.18830645161290321,0.23911290322580644,0.842741935483871,1.0,8.169354838709676
Staff,53,6,21.82509433962264,0.17762857577601948,0.2101909616555082,0.7974170724284845,1.0,8.358528606208155
Michael Renner,3,3,21.796666666666667,0.17708333333333334,0.20833333333333334,0.8020833333333334,1.0,9.864583333333334
Jimmy Kempski,6,6,21.756666666666664,0.1880040322580645,0.2143817204301075,0.8373655913978495,1.0,7.951444892473119
Jason La Canfora,4,4,21.755,0.19606854838709678,0.19657258064516128,0.8029233870967742,1.0,8.910282258064516
Brad Biggs,2,2,21.755,0.171875,0.203125,0.796875,1.0,7.375
Matthew Freedman,7,6,21.702857142857145,0.165610599078341,0.21514976958525348,0.852102534562212,1.0,7.045794930875576
Jake Rosen,3,3,21.63333333333333,0.16666666666666666,0.21875,0.84375,1.0,6.916666666666667
Andrew Callahan,1,1,21.63,0.1875,0.25,0.84375,1.0,10.09375
Ben Morgan,1,1,21.63,0.1875,0.21875,0.71875,1.0,9.28125
Curt Popejoy,1,1,21.63,0.1875,0.15625,0.8125,1.0,10.59375
Marco Enriquez,1,1,21.63,0.15625,0.25,0.84375,1.0,8.46875
Ryan Kramer,1,1,21.63,0.15625,0.21875,0.8125,1.0,7.21875
J.T. Olson,1,1,21.63,0.15625,0.1875,0.8125,1.0,9.25
Anthony Staggs,3,3,21.55333333333333,0.167002688172043,0.27251344086021506,0.863239247311828,1.0,6.694220430107527
Pete Fiutak,3,3,21.55333333333333,0.15625,0.20833333333333334,0.75,1.0,9.447916666666666
Phil Perry,5,5,21.536,0.18205645161290324,0.20120967741935486,0.8237903225806452,1.0,8.331653225806452
Jeff Bell,2,2,21.515,0.203125,0.21875,0.859375,1.0,8.421875
Tony Pauline,2,2,21.515,0.1875,0.1875,0.828125,1.0,7.53125
Seth Trachtman,1,1,21.39,0.2258064516129032,0.1612903225806451,0.7419354838709677,1.0,13.741935483870968
Joe Serpico,1,1,21.39,0.1875,0.25,0.84375,1.0,7.25
John Shipley,1,1,21.39,0.1875,0.1875,0.84375,1.0,11.5
Ryan Mink,1,1,21.39,0.1875,0.1875,0.84375,1.0,11.15625
Bryan DeArdo,1,1,21.39,0.15625,0.1875,0.75,1.0,10.1875
Ryan Wilson,7,6,21.327142857142857,0.18346774193548385,0.23732718894009214,0.8027073732718895,1.0,9.525921658986176
Matthew Jones,3,3,21.313333333333333,0.17842741935483872,0.2315188172043011,0.8420698924731184,1.0,7.895497311827957
Keith Sanchez,3,3,21.313333333333333,0.16666666666666666,0.20833333333333334,0.8020833333333334,1.0,11.291666666666666
Micky McKeon,2,2,21.275,0.1875,0.203125,0.765625,1.0,9.578125
Joe Marino,2,2,21.275,0.1875,0.171875,0.859375,1.0,7.875
Brett Gibbons,2,2,21.275,0.15625,0.21875,0.8125,1.0,8.703125
Lance Zierlein,6,6,21.235,0.18783602150537634,0.23555107526881722,0.8477822580645161,1.0,6.904569892473119
Brady Auer,1,1,21.15,0.21875,0.15625,0.8125,1.0,11.65625
Justin Rogers,1,1,21.15,0.15625,0.1875,0.6875,1.0,8.46875
Kevin Hanson,3,3,21.076666666666664,0.17708333333333334,0.1875,0.8125,1.0,7.34375
Tim Murray,2,2,21.03,0.18901209677419356,0.2373991935483871,0.8412298387096775,1.0,6.168850806451613
Alexi Iafrato,1,1,20.91,0.15625,0.21875,0.78125,1.0,7.84375
Hunter Ansley,1,1,20.91,0.15625,0.1875,0.75,1.0,8.28125
Chris Ransom,5,5,20.866,0.16330645161290322,0.19455645161290322,0.7544354838709678,1.0,14.335282258064515
Dave Bryan,1,1,20.67,0.1935483870967742,0.2580645161290322,0.7741935483870968,1.0,11.03225806451613
Henry McKenna,2,2,20.67,0.15625,0.1875,0.734375,1.0,14.8125
John Williams,2,2,20.67,0.140625,0.171875,0.75,1.0,9.796875
Peter Schrager,5,5,20.625999999999998,0.1756048387096774,0.2318548387096774,0.8425403225806452,1.0,6.6600806451612895
Dane Brugler,3,3,20.593333333333334,0.15759408602150538,0.18918010752688172,0.8521505376344086,1.0,6.272513440860216
Mitch Vosburg,2,2,20.555,0.1910282258064516,0.1754032258064516,0.7943548387096775,1.0,13.597782258064516
Anthony Rizzuti,3,3,20.513333333333332,0.18817204301075266,0.2513440860215054,0.830981182795699,1.0,8.31518817204301
Rob Staton,3,3,20.433333333333334,0.16666666666666666,0.21875,0.8333333333333334,1.0,8.645833333333334
Mark Inabinett,1,1,20.43,0.1875,0.25,0.78125,1.0,7.03125
Bob Glauber,2,2,20.43,0.15625,0.171875,0.78125,1.0,9.90625
Corey Parson,1,1,20.43,0.15625,0.125,0.75,1.0,8.71875
Nate Bouda,3,3,20.27,0.16767473118279572,0.2415994623655914,0.8111559139784946,1.0,9.15154569892473
Sean Koerner,3,3,20.19333333333333,0.1797715053763441,0.2211021505376344,0.8528225806451614,1.0,6.766801075268817
Mike Kiwak,4,4,20.192500000000003,0.18850806451612903,0.22076612903225806,0.8031754032258065,1.0,8.33366935483871
Sean Hammond,1,1,20.19,0.1935483870967742,0.1612903225806451,0.8064516129032258,1.0,7.870967741935484
Ryan McCrystal,1,1,20.19,0.1875,0.28125,0.84375,1.0,8.0
Mark Morales-Smith,1,1,20.19,0.1875,0.25,0.71875,1.0,10.34375
Dan Wilkins,1,1,20.19,0.15625,0.28125,0.84375,1.0,8.53125
Ryan Fowler,3,3,20.029999999999998,0.18884408602150538,0.17943548387096775,0.8101478494623656,1.0,9.082661290322582
Matt Robinson,1,1,19.95,0.1875,0.25,0.875,1.0,7.75
Mike Tagliere,1,1,19.95,0.15625,0.1875,0.75,1.0,8.28125
Tyler Calvaruso,1,1,19.95,0.125,0.15625,0.75,1.0,9.4375
Josh Edwards,8,6,19.8,0.16519657258064516,0.20047883064516128,0.7913306451612904,1.0,8.470514112903226
Brandon Holtz,1,1,19.71,0.2258064516129032,0.1290322580645161,0.7741935483870968,1.0,8.612903225806452
D Wash,1,1,19.71,0.1875,0.125,0.8125,1.0,14.8125
Derek Brown,1,1,19.71,0.15625,0.28125,0.84375,1.0,7.09375
Brian Miller,1,1,19.71,0.15625,0.21875,0.78125,1.0,7.78125
Chet Gresham,3,3,19.709999999999997,0.16834677419354838,0.2315188172043011,0.863239247311828,1.0,6.560483870967741
Kent Weyrauch,3,3,19.63,0.14684139784946237,0.1895161290322581,0.8424059139784946,1.0,7.450604838709677
Glenn Erby,1,1,19.47,0.1935483870967742,0.1612903225806451,0.8709677419354839,1.0,7.709677419354839
Jess Root,2,2,19.47,0.17338709677419356,0.20463709677419356,0.8089717741935484,1.0,8.363407258064516
Benjamin Allbright,2,2,19.47,0.171875,0.1875,0.859375,1.0,8.796875
Liam Blutman,3,3,19.47,0.16767473118279572,0.18884408602150538,0.7993951612903226,1.0,10.21606182795699
Donnie Druin,1,1,19.47,0.15625,0.25,0.84375,1.0,9.125
Benjamin Solak,1,1,19.47,0.15625,0.15625,0.8125,1.0,6.46875
Bucky Brooks,1,1,19.47,0.15625,0.15625,0.75,1.0,7.53125
Ian Valentino,1,1,19.47,0.125,0.1875,0.8125,1.0,7.78125
Nick Barrett,4,4,19.4125,0.16507056451612903,0.21244959677419356,0.8266129032258065,1.0,7.545866935483871
Glynn Morgan,3,3,19.393333333333334,0.14616935483870966,0.21001344086021503,0.8000672043010754,1.0,8.035618279569894
Pete Prisco,9,6,19.311111111111114,0.15300179211469533,0.18111559139784944,0.8397177419354839,1.0,8.22345430107527
Sean Balzer,3,3,19.31,0.15725806451612903,0.19892473118279572,0.8629032258064516,1.0,8.332325268817204
Kyle Stackpole,2,2,19.23,0.18951612903225806,0.172883064516129,0.8724798387096775,1.0,6.673891129032258
Chase Hammes,1,1,19.23,0.15625,0.15625,0.75,1.0,10.8125
Nathan Nguyen,1,1,19.23,0.15625,0.125,0.75,1.0,14.5625
Brad Menendez,2,2,19.23,0.140625,0.1875,0.796875,1.0,8.5625
Kristopher Knox,1,1,19.23,0.125,0.125,0.65625,1.0,12.125
Steven Cheah,4,4,18.990000000000002,0.16481854838709678,0.25126008064516125,0.8117439516129032,1.0,8.773185483870968
Daniel Garrett,1,1,18.99,0.1935483870967742,0.1935483870967742,0.8387096774193549,1.0,7.32258064516129
Justin Melo,4,4,18.99,0.1567540322580645,0.18069556451612903,0.7552923387096774,1.0,12.1328125
Brian Lamb,1,1,18.99,0.15625,0.15625,0.75,1.0,15.71875
Charlie Wilson,1,1,18.99,0.15625,0.15625,0.875,1.0,10.875
John McKechnie,1,1,18.99,0.15625,0.125,0.75,1.0,13.34375
Joe Hopkins,1,1,18.99,0.125,0.21875,0.75,1.0,7.75
DraftGeek,1,1,18.99,0.125,0.1875,0.71875,1.0,8.96875
Vincent Parise,1,1,18.99,0.125,0.15625,0.8125,1.0,12.125
Rhett Lewis,1,1,18.99,0.125,0.125,0.75,1.0,7.9375
Doug Farrar,2,2,18.87,0.17439516129032256,0.15776209677419356,0.7318548387096775,1.0,10.552923387096774
Hayden Winks,4,4,18.869999999999997,0.15725806451612903,0.22026209677419356,0.8503024193548387,1.0,6.511088709677419
Andrew Harbaugh,1,1,18.75,0.1875,0.15625,0.78125,1.0,15.6875
Newy Scruggs,1,1,18.75,0.1875,0.125,0.71875,1.0,8.625
Will Brinson,4,4,18.75,0.16481854838709678,0.19682459677419356,0.7638608870967742,1.0,9.422379032258064
Chris Fallica,1,1,18.75,0.15625,0.15625,0.75,1.0,13.625
Ryland Scholes,1,1,18.75,0.15625,0.15625,0.75,1.0,16.40625
Nick Suss,1,1,18.75,0.15625,0.125,0.78125,1.0,11.4375
Ryan Noonan,4,4,18.75,0.14919354838709678,0.18094758064516128,0.8422379032258065,1.0,7.996975806451613
Mike Luchene,1,1,18.75,0.125,0.1875,0.84375,1.0,6.5625
Matthew Tabeek,1,1,18.75,0.125,0.15625,0.75,1.0,10.0
Salvatore Stefanile,1,1,18.75,0.125,0.125,0.71875,1.0,12.40625
Cory Bonini,3,3,18.59,0.15625,0.17708333333333334,0.8020833333333334,1.0,10.3125
Kevin Fielder,1,1,18.51,0.1935483870967742,0.2580645161290322,0.8064516129032258,1.0,8.096774193548388
Manish Mehta,1,1,18.51,0.1875,0.21875,0.8125,1.0,7.3125
Skyler Carlin,1,1,18.51,0.15625,0.21875,0.75,1.0,10.8125
Cayden Steele,1,1,18.51,0.15625,0.1875,0.8125,1.0,11.5
Nolan Bianchi,1,1,18.51,0.15625,0.125,0.84375,1.0,8.0
Shan Reddy,1,1,18.51,0.15625,0.125,0.75,1.0,7.90625
Carter Landis,1,1,18.51,0.125,0.1875,0.84375,1.0,5.65625
Dante Collinelli,1,1,18.51,0.125,0.15625,0.84375,1.0,7.4375
Logan Lamorandier,2,2,18.509999999999998,0.140625,0.1875,0.828125,1.0,7.796875
Cris Collinsworth,3,3,18.43,0.14751344086021503,0.16868279569892475,0.7785618279569894,1.0,12.113911290322582
Mike Tanier,1,1,18.27,0.15625,0.1875,0.71875,1.0,11.65625
Austin Mock,1,1,18.27,0.15625,0.15625,0.84375,1.0,7.8125
Jason McIntyre,2,2,18.27,0.125,0.203125,0.796875,1.0,9.0625
Aaron Wilson,2,2,18.27,0.125,0.125,0.75,1.0,10.328125
T.J. Besler,1,1,18.27,0.125,0.125,0.8125,1.0,6.21875
Jeremy Bissett,3,3,18.11,0.14684139784946237,0.28461021505376344,0.8000672043010754,1.0,10.25739247311828
Evan Silva,4,4,18.09,0.14138104838709678,0.17338709677419356,0.8344254032258065,1.0,7.230342741935484
Owain Jones,1,1,18.03,0.1875,0.125,0.78125,1.0,6.21875
Adam Aizer,1,1,18.03,0.1612903225806451,0.2258064516129032,0.8387096774193549,1.0,7.967741935483871
Ryan Schlipp,1,1,18.03,0.15625,0.1875,0.84375,1.0,8.5625
Ryan O'Halloran,1,1,18.03,0.15625,0.125,0.8125,1.0,7.4375
Matt Fitzgerald,3,3,17.94666666666667,0.14684139784946237,0.15658602150537634,0.7893145161290324,1.0,8.823252688172042
Charles McDonald,1,1,17.79,0.1875,0.15625,0.75,1.0,8.8125
Cory Kinnan,1,1,17.79,0.15625,0.1875,0.75,1.0,15.75
Andrew Wilbar,3,3,17.706666666666667,0.1875,0.19791666666666666,0.7708333333333334,1.0,9.791666666666666
Chris McGlynn,2,2,17.67,0.15625,0.1875,0.765625,1.0,11.734375
Kenneth Arthur,2,1,17.665,0.125,0.15625,0.75,1.0,11.234375
Roy Countryman,3,3,17.626666666666665,0.14616935483870966,0.2516801075268817,0.821236559139785,1.0,8.56149193548387
Mike Mulhern,5,5,17.594,0.15,0.2125,0.81875,1.0,8.53125
Tom Downey,1,1,17.55,0.15625,0.25,0.90625,1.0,6.375
Ric Serritella,1,1,17.55,0.15625,0.125,0.875,1.0,9.0625
Mark Maske,1,1,17.55,0.125,0.21875,0.78125,1.0,13.40625
Christian Williams,1,1,17.55,0.125,0.125,0.8125,1.0,6.6875
Harris Oates,3,3,17.546666666666667,0.13608870967741934,0.2513440860215054,0.7893145161290324,1.0,9.931451612903226
Shane Hallam,3,3,17.466666666666665,0.13541666666666666,0.20833333333333334,0.8645833333333334,1.0,7.020833333333333
Brian Bosarge,4,4,17.3675,0.13356854838709678,0.18951612903225806,0.8190524193548387,1.0,8.792590725806452
Dave Richard,2,2,17.310000000000002,0.1905241935483871,0.1910282258064516,0.7772177419354839,1.0,10.551915322580644
Chris Schubert,1,1,17.31,0.1612903225806451,0.2258064516129032,0.8064516129032258,1.0,8.419354838709678
James Fragoza,1,1,17.31,0.1612903225806451,0.1935483870967742,0.7741935483870968,1.0,9.96774193548387
Zachary Mangum,1,1,17.31,0.15625,0.15625,0.65625,1.0,10.375
Josh Frey,1,1,17.31,0.125,0.21875,0.8125,1.0,10.3125
Dan Schneier,1,1,17.31,0.125,0.1875,0.6875,1.0,10.71875
Xaiver Aguiar,1,1,17.31,0.125,0.15625,0.75,1.0,10.84375
Joe Rowles,2,2,17.305,0.125,0.171875,0.78125,1.0,7.75
Josh Friedman,2,2,17.19,0.1098790322580645,0.17338709677419356,0.8094758064516129,1.0,8.71219758064516
RJ White,4,4,17.07,0.1984375,0.2625,0.8578125,1.0,6.4375
Reese Jones,1,1,17.07,0.125,0.21875,0.84375,1.0,10.5
Eduardo A. Encina,1,1,17.07,0.09375,0.09375,0.75,1.0,8.875
C.J. Doon,2,2,17.065,0.140625,0.21875,0.796875,1.0,7.515625
Alan Goldsher,2,1,17.064999999999998,0.15625,0.125,0.8125,1.0,13.15625
Brentley Weissman,3,3,16.986666666666668,0.15759408602150538,0.14684139784946237,0.8521505376344086,1.0,8.952956989247312
Thor Nystrom,5,5,16.872,0.1377016129032258,0.20766129032258066,0.7985887096774194,1.0,9.497580645161289
Connor Hughes,1,1,16.83,0.6,0.5,1.0,1.0,1.4
Ryan Roberts,1,1,16.83,0.125,0.21875,0.84375,1.0,6.40625
J.P. Acosta,2,2,16.825,0.126008064516129,0.19002016129032256,0.7459677419354839,1.0,10.313508064516128
Justin Fried,1,1,16.66,0.1290322580645161,0.2580645161290322,0.8387096774193549,1.0,8.870967741935484
Carmen Vitali,1,1,16.59,0.15625,0.28125,0.8125,1.0,10.0625
Brad Spielberger,1,1,16.59,0.1290322580645161,0.2903225806451613,0.8709677419354839,1.0,7.032258064516129
Adam Hill,1,1,16.59,0.125,0.15625,0.78125,1.0,8.21875
Mike Florio,2,2,16.59,0.125,0.15625,0.78125,1.0,10.703125
Mike Randle,2,2,16.59,0.125,0.09375,0.8125,1.0,9.96875
David Howman,2,2,16.585,0.109375,0.140625,0.8125,1.0,9.703125
Alex Simpson,2,2,16.465,0.109375,0.15625,0.78125,1.0,9.9375
Cam Marino,3,3,16.35,0.13676075268817203,0.1895161290322581,0.779233870967742,1.0,8.715725806451614
Brent Sobleski,1,1,16.35,0.125,0.1875,0.8125,1.0,11.75
Adam Stites,1,1,16.35,0.125,0.09375,0.8125,1.0,11.78125
Mason Johnstone,1,1,16.35,0.125,0.09375,0.71875,1.0,16.78125
Rob Rang,3,3,16.266666666666666,0.12701612903225806,0.1898521505376344,0.7893145161290324,1.0,9.121975806451614
John Crumpler,1,1,16.11,0.2,0.3,0.95,1.0,6.45
Richard Bradshaw,1,1,16.11,0.125,0.21875,0.84375,1.0,6.9375
