author_name,mock_name,mocks_scraped,years_covered,avg_site_completion_percentage,avg_exact_pick_match_rate,avg_team_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Matt Robinson,Battle Red Blog,1,1,19.95,0.1875,0.25,0.875,1.0,7.75
Mike Tagliere,Fantasy Pros,1,1,19.95,0.15625,0.1875,0.75,1.0,8.28125
Staff,Acme Packing Company,1,1,19.95,0.15625,0.125,0.75,1.0,7.90625
Tyler Calvaruso,Jets Wire,1,1,19.95,0.125,0.15625,0.75,1.0,9.4375
Jake Rosen,Field 2 Court,2,2,19.83,0.140625,0.203125,0.828125,1.0,6.875
Josh Edwards,CBS,8,6,19.8,0.16519657258064516,0.20047883064516128,0.7913306451612904,1.0,8.470514112903226
Brandon Holtz,Microsoft Sports,1,1,19.71,0.2258064516129032,0.1290322580645161,0.7741935483870968,1.0,8.612903225806452
D Wash,Mock Draft HQ,1,1,19.71,0.1875,0.125,0.8125,1.0,14.8125
Derek Brown,Fantasy Pros,1,1,19.71,0.15625,0.28125,0.84375,1.0,7.09375
Brian Miller,Phin Phanatic,1,1,19.71,0.15625,0.21875,0.78125,1.0,7.78125
Staff,Nevada Sagebrush,1,1,19.71,0.15625,0.1875,0.6875,1.0,10.03125
Chet Gresham,Draft Kings,3,3,19.709999999999997,0.16834677419354838,0.2315188172043011,0.863239247311828,1.0,6.560483870967741
Kent Weyrauch,Fantasy Pros,3,3,19.63,0.14684139784946237,0.1895161290322581,0.8424059139784946,1.0,7.450604838709677
Calvin Watkins,Dallas Morning News,2,2,19.59,0.15776209677419356,0.19002016129032256,0.841733870967742,1.0,6.965725806451613
Staff,Uproxx,2,2,19.59,0.141633064516129,0.18901209677419356,0.8251008064516129,1.0,7.041834677419355
Glenn Erby,Eagles Wire,1,1,19.47,0.1935483870967742,0.1612903225806451,0.8709677419354839,1.0,7.709677419354839
Jess Root,Cards Wire,2,2,19.47,0.17338709677419356,0.20463709677419356,0.8089717741935484,1.0,8.363407258064516
Benjamin Allbright,KOA,2,2,19.47,0.171875,0.1875,0.859375,1.0,8.796875
Donnie Druin,SI,1,1,19.47,0.15625,0.25,0.84375,1.0,9.125
Benjamin Solak,The Ringer,1,1,19.47,0.15625,0.15625,0.8125,1.0,6.46875
Bucky Brooks,NFL.com,1,1,19.47,0.15625,0.15625,0.75,1.0,7.53125
Rob Rang,NFL Draft Scout,1,1,19.47,0.125,0.21875,0.78125,1.0,7.3125
Ian Valentino,33rd Team,1,1,19.47,0.125,0.1875,0.8125,1.0,7.78125
Nick Barrett,Football Nick,4,4,19.4125,0.16507056451612903,0.21244959677419356,0.8266129032258065,1.0,7.545866935483871
Glynn Morgan,NBC Sports Chicago,3,3,19.393333333333334,0.14616935483870966,0.21001344086021503,0.8000672043010754,1.0,8.035618279569894
Jacob Camenker,Sporting News,3,3,19.39,0.14684139784946237,0.2315188172043011,0.852486559139785,1.0,7.700268817204301
Pete Prisco,CBS,9,6,19.311111111111114,0.15300179211469533,0.18111559139784944,0.8397177419354839,1.0,8.22345430107527
Sean Balzer,NFL Draft Lounge,3,3,19.31,0.15725806451612903,0.19892473118279572,0.8629032258064516,1.0,8.332325268817204
Kyle Stackpole,CBS,2,2,19.23,0.18951612903225806,0.172883064516129,0.8724798387096775,1.0,6.673891129032258
Chase Hammes,Steel City Underground,1,1,19.23,0.15625,0.15625,0.75,1.0,10.8125
Nathan Nguyen,Belly Up Sports,1,1,19.23,0.15625,0.125,0.75,1.0,14.5625
Brad Menendez,Draft Countdown,2,2,19.23,0.140625,0.1875,0.796875,1.0,8.5625
Kristopher Knox,Bleacher Report,1,1,19.23,0.125,0.125,0.65625,1.0,12.125
Staff,Pro Football Focus,2,2,18.990000000000002,0.1875,0.203125,0.734375,1.0,10.828125
