player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Haynes King,QB,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
Isaiah Nwokobia,S,1,1,1,7.0,7.0,7,7,,,,,1,Indianapolis Colts,indianapolis-colts
J'Mari Taylor,RB,1,1,1,6.0,6.0,6,6,,,,,1,Arizona Cardinals,arizona-cardinals
Ja'Kobi Lane,WR,1,1,1,4.0,4.0,4,4,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Jack Velling,TE,1,1,1,7.0,7.0,7,7,,,,,1,Cincinnati Bengals,cincinnati-bengals
Jalen Farmer,IOL,1,1,1,3.0,3.0,3,3,,,,,1,Miami Dolphins,miami-dolphins
Jalen Stroman,S,1,1,1,5.0,5.0,5,5,,,,,1,Philadelphia Eagles,philadelphia-eagles
Jamarion Miller,RB,1,1,1,7.0,7.0,7,7,,,,,1,Arizona Cardinals,arizona-cardinals
James Brockermeyer,IOL,1,1,1,6.0,6.0,6,6,,,,,1,New York Giants,new-york-giants
Jaydn Ott,RB,1,1,1,5.0,5.0,5,5,,,,,1,Baltimore Ravens,baltimore-ravens
Joe Fagnano,QB,1,1,1,7.0,7.0,7,7,,,,,1,New England Patriots,new-england-patriots
John Michael Gyllenborg,TE,1,1,1,6.0,6.0,6,6,,,,,1,Las Vegas Raiders,las-vegas-raiders
Jordan van den Berg,DL,1,1,1,7.0,7.0,7,7,,,,,1,Cincinnati Bengals,cincinnati-bengals
Josh Cameron,WR,1,1,1,5.0,5.0,5,5,,,,,1,Carolina Panthers,carolina-panthers
Josh Moten,CB,1,1,1,7.0,7.0,7,7,,,,,1,Chicago Bears,chicago-bears
Joshua Josephs,EDGE,1,1,1,3.0,3.0,3,3,,,,,1,Philadelphia Eagles,philadelphia-eagles
Josiah Trotter,LB,1,1,1,2.0,2.0,2,2,,,,,1,Minnesota Vikings,minnesota-vikings
Justin Joly,TE,1,1,1,3.0,3.0,3,3,,,,,1,Houston Texans,houston-texans
Kage Casey,OT,1,1,1,4.0,4.0,4,4,,,,,1,Buffalo Bills,buffalo-bills
Kaytron Allen,RB,1,1,1,5.0,5.0,5,5,,,,,1,Philadelphia Eagles,philadelphia-eagles
Keith Abney II,CB,1,1,1,2.0,2.0,2,2,,,,,1,Green Bay Packers,green-bay-packers
Kendal Daniels,S,1,1,1,7.0,7.0,7,7,,,,,1,Pittsburgh Steelers,pittsburgh-steelers
