team_slug,team_name,player_name,player_position,weighted_mock_score,raw_mock_count,unique_mocks,unique_authors,avg_pick,median_pick,min_pick,max_pick,avg_author_weight,team_specific_weight_uses,weighted_team_total,raw_team_total,weighted_share_of_team_picks
chicago-bears,Chicago Bears,Caleb Lomu,OT,0.7333333333333334,2,2,2,25.0,25.0,25,25,0.3666666666666667,1,104.84835758377424,231,0.006994228142747942
chicago-bears,Chicago Bears,Avieon Terrell,CB,0.6666666666666667,1,1,1,25.0,25.0,25,25,0.6666666666666667,1,104.84835758377424,231,0.006358389220679947
chicago-bears,Chicago Bears,Treydan Stukes,CB,0.6666666666666667,1,1,1,27.0,27.0,27,27,0.6666666666666667,1,104.84835758377424,231,0.006358389220679947
chicago-bears,Chicago Bears,Chris Johnson,CB,0.6,1,1,1,25.0,25.0,25,25,0.6,1,104.84835758377424,231,0.005722550298611952
chicago-bears,Chicago Bears,Anthony Hill Jr.,LB,0.5,1,1,1,25.0,25.0,25,25,0.5,1,104.84835758377424,231,0.00476879191550996
chicago-bears,Chicago Bears,Monroe Freeling,OT,0.5,1,1,1,25.0,25.0,25,25,0.5,1,104.84835758377424,231,0.00476879191550996
chicago-bears,Chicago Bears,Connor Lew,IOL,0.4666666666666666,1,1,1,25.0,25.0,25,25,0.4666666666666666,1,104.84835758377424,231,0.004450872454475962
chicago-bears,Chicago Bears,Denzel Boston,WR,0.4666666666666666,1,1,1,25.0,25.0,25,25,0.4666666666666666,1,104.84835758377424,231,0.004450872454475962
chicago-bears,Chicago Bears,Jordyn Tyson,WR,0.33333333333333337,1,1,1,18.0,18.0,18,18,0.33333333333333337,1,104.84835758377424,231,0.0031791946103399736
chicago-bears,Chicago Bears,Christen Miller,DL,0.33333333333333337,1,1,1,30.0,30.0,30,30,0.33333333333333337,1,104.84835758377424,231,0.0031791946103399736
chicago-bears,Chicago Bears,A.J. Haulcy,S,0.3333333333333333,1,1,1,25.0,25.0,25,25,0.3333333333333333,0,104.84835758377424,231,0.003179194610339973
chicago-bears,Chicago Bears,Jermod McCoy,CB,0.3333333333333333,1,1,1,25.0,25.0,25,25,0.3333333333333333,0,104.84835758377424,231,0.003179194610339973
chicago-bears,Chicago Bears,Josiah Trotter,LB,0.3333333333333333,1,1,1,25.0,25.0,25,25,0.3333333333333333,0,104.84835758377424,231,0.003179194610339973
chicago-bears,Chicago Bears,Max Iheanachor,OT,0.3333333333333333,1,1,1,25.0,25.0,25,25,0.3333333333333333,0,104.84835758377424,231,0.003179194610339973
cincinnati-bengals,Cincinnati Bengals,Caleb Downs,S,22.501187980433265,59,58,58,10.05084745762712,10.0,10,13,0.3813760674649706,39,74.43357791754018,194,0.3022988899628173
cincinnati-bengals,Cincinnati Bengals,Mansoor Delane,CB,13.083857442348009,37,35,34,10.0,10.0,10,10,0.35361776871210837,23,74.43357791754018,194,0.17577896707911464
cincinnati-bengals,Cincinnati Bengals,Rueben Bain,EDGE,8.588888888888889,23,23,23,10.0,10.0,10,10,0.3734299516908212,13,74.43357791754018,194,0.11538997760397768
cincinnati-bengals,Cincinnati Bengals,Jermod McCoy,CB,8.039412997903565,19,18,17,10.263157894736842,10.0,10,15,0.4231269998896613,17,74.43357791754018,194,0.1080078806208923
cincinnati-bengals,Cincinnati Bengals,Sonny Styles,LB,6.728301886792453,14,14,13,9.428571428571429,10.0,4,10,0.48059299191374666,8,74.43357791754018,194,0.0903933691625878
cincinnati-bengals,Cincinnati Bengals,Dillon Thieneman,S,2.8444444444444446,5,5,5,13.2,10.0,10,23,0.5688888888888889,5,74.43357791754018,194,0.038214533333270746
cincinnati-bengals,Cincinnati Bengals,Francis Mauigoa,OT,2.09748427672956,7,7,7,10.0,10.0,10,10,0.2996406109613657,4,74.43357791754018,194,0.028179275206321776
cincinnati-bengals,Cincinnati Bengals,Peter Woods,DL,1.9333333333333333,5,4,4,10.4,10.0,10,12,0.38666666666666666,5,74.43357791754018,194,0.02597394062495746
cincinnati-bengals,Cincinnati Bengals,Spencer Fano,OT,1.4222222222222223,5,5,5,10.0,10.0,10,10,0.28444444444444444,4,74.43357791754018,194,0.019107266666635373
cincinnati-bengals,Cincinnati Bengals,Jeremiyah Love,RB,1.3333333333333333,5,5,5,10.0,10.0,10,10,0.26666666666666666,2,74.43357791754018,194,0.017913062499970663
cincinnati-bengals,Cincinnati Bengals,Olaivavega Ioane,IOL,1.1833333333333333,3,3,3,10.0,10.0,10,10,0.39444444444444443,2,74.43357791754018,194,0.015897842968723964
cincinnati-bengals,Cincinnati Bengals,Monroe Freeling,OT,1.1333333333333333,3,3,3,10.0,10.0,10,10,0.37777777777777777,2,74.43357791754018,194,0.015226103124975063
cincinnati-bengals,Cincinnati Bengals,Carnell Tate,WR,0.9333333333333333,2,2,2,10.0,10.0,10,10,0.4666666666666667,2,74.43357791754018,194,0.012539143749979463
cincinnati-bengals,Cincinnati Bengals,David Bailey,EDGE,0.7777777777777777,2,2,2,10.0,10.0,10,10,0.38888888888888884,1,74.43357791754018,194,0.010449286458316219
cincinnati-bengals,Cincinnati Bengals,Caleb Lomu,OT,0.6666666666666667,2,2,2,10.0,10.0,10,10,0.33333333333333337,1,74.43357791754018,194,0.008956531249985333
cincinnati-bengals,Cincinnati Bengals,C.J. Allen,LB,0.6666666666666667,1,1,1,32.0,32.0,32,32,0.6666666666666667,1,74.43357791754018,194,0.008956531249985333
cincinnati-bengals,Cincinnati Bengals,Keldric Faulk,EDGE,0.3333333333333333,1,1,1,10.0,10.0,10,10,0.3333333333333333,0,74.43357791754018,194,0.004478265624992666
cincinnati-bengals,Cincinnati Bengals,Kenyon Sadiq,TE,0.16666666666666669,1,1,1,10.0,10.0,10,10,0.16666666666666669,1,74.43357791754018,194,0.0022391328124963332
cleveland-browns,Cleveland Browns,Carnell Tate,WR,29.5914234220609,84,81,81,6.119047619047619,6.0,6,10,0.35227885026262973,44,163.91130247677654,493,0.18053314795819833
cleveland-browns,Cleveland Browns,Monroe Freeling,OT,21.041517323775388,65,64,58,9.63076923076923,6.0,6,24,0.32371565113500594,42,163.91130247677654,493,0.12837136308374228
cleveland-browns,Cleveland Browns,Francis Mauigoa,OT,12.666997354497354,40,40,40,6.3,6.0,3,12,0.31667493386243384,23,163.91130247677654,493,0.07727958452585693
cleveland-browns,Cleveland Browns,Kevin Concepcion,WR,11.969080687830688,38,37,36,23.68421052631579,24.0,20,24,0.3149758075744918,22,163.91130247677654,493,0.07302169226265837
cleveland-browns,Cleveland Browns,Spencer Fano,OT,11.738575268817204,36,36,36,8.63888888888889,6.0,6,24,0.32607153524492233,24,163.91130247677654,493,0.07161541084380292
cleveland-browns,Cleveland Browns,Denzel Boston,WR,11.210797491039427,34,33,30,23.794117647058822,24.0,20,29,0.32972933797174786,21,163.91130247677654,493,0.0683955122169065
cleveland-browns,Cleveland Browns,Omar Cooper Jr.,WR,10.863855286738351,31,30,30,24.0,24.0,20,28,0.3504469447334952,16,163.91130247677654,493,0.06627886620739638
cleveland-browns,Cleveland Browns,Caleb Lomu,OT,8.88888888888889,29,27,27,22.482758620689655,24.0,6,24,0.30651340996168586,17,163.91130247677654,493,0.0542298716108872
cleveland-browns,Cleveland Browns,Kadyn Proctor,OT,7.954861111111112,23,22,22,15.91304347826087,16.0,6,24,0.3458635265700483,13,163.91130247677654,493,0.048531498383024445
cleveland-browns,Cleveland Browns,Blake Miller,OT,5.306030701754386,14,14,14,23.214285714285715,24.0,6,31,0.37900219298245613,6,163.91130247677654,493,0.03237135341845118
cleveland-browns,Cleveland Browns,Jordyn Tyson,WR,4.871527777777779,13,12,12,21.076923076923077,24.0,6,24,0.37473290598290604,10,163.91130247677654,493,0.02972051166799795
cleveland-browns,Cleveland Browns,Makai Lemon,WR,3.587813620071685,11,10,10,19.363636363636363,24.0,6,24,0.32616487455197135,8,163.91130247677654,493,0.02188875059778149
cleveland-browns,Cleveland Browns,Max Iheanachor,OT,3.0031250000000003,9,9,9,24.0,24.0,24,24,0.3336805555555556,6,163.91130247677654,493,0.018321646857912634
cleveland-browns,Cleveland Browns,Jermod McCoy,CB,2.3333333333333335,7,7,7,24.0,24.0,24,24,0.33333333333333337,4,163.91130247677654,493,0.014235341297857891
cleveland-browns,Cleveland Browns,Ty Simpson,QB,2.260416666666667,7,7,7,27.285714285714285,24.0,24,32,0.3229166666666667,5,163.91130247677654,493,0.013790486882299833
cleveland-browns,Cleveland Browns,T.J. Parker,EDGE,1.7766203703703705,5,5,5,24.0,24.0,24,24,0.35532407407407407,3,163.91130247677654,493,0.010838913140978106
cleveland-browns,Cleveland Browns,Rueben Bain,EDGE,1.7204301075268817,5,5,5,6.0,6.0,6,6,0.34408602150537637,2,163.91130247677654,493,0.010496104182752361
cleveland-browns,Cleveland Browns,David Bailey,EDGE,1.407258064516129,4,4,4,6.0,6.0,6,6,0.35181451612903225,1,163.91130247677654,493,0.00858548521823572
cleveland-browns,Cleveland Browns,Sonny Styles,LB,1.3333333333333335,4,4,4,6.0,6.0,6,6,0.33333333333333337,2,163.91130247677654,493,0.00813448074163308
cleveland-browns,Cleveland Browns,Caleb Downs,S,1.3020833333333335,5,4,4,6.0,6.0,6,6,0.2604166666666667,3,163.91130247677654,493,0.007943828849251055
cleveland-browns,Cleveland Browns,Avieon Terrell,CB,1.25,4,3,3,24.0,24.0,24,24,0.3125,1,163.91130247677654,493,0.007626075695281013
cleveland-browns,Cleveland Browns,Colton Hood,CB,1.1666666666666667,4,4,4,24.0,24.0,24,24,0.2916666666666667,3,163.91130247677654,493,0.007117670648928946
cleveland-browns,Cleveland Browns,Emmanuel McNeil-Warren,S,1.1666666666666667,4,4,4,24.0,24.0,24,24,0.2916666666666667,2,163.91130247677654,493,0.007117670648928946
cleveland-browns,Cleveland Browns,Kenyon Sadiq,TE,1.0,3,3,3,22.666666666666668,24.0,20,24,0.3333333333333333,2,163.91130247677654,493,0.00610086055622481
cleveland-browns,Cleveland Browns,Chris Brazzell,WR,0.6666666666666667,2,2,2,24.0,24.0,24,24,0.33333333333333337,1,163.91130247677654,493,0.00406724037081654
cleveland-browns,Cleveland Browns,Dillon Thieneman,S,0.6666666666666667,2,2,2,24.0,24.0,24,24,0.33333333333333337,2,163.91130247677654,493,0.00406724037081654
cleveland-browns,Cleveland Browns,Olaivavega Ioane,IOL,0.6666666666666666,2,2,2,24.0,24.0,24,24,0.3333333333333333,0,163.91130247677654,493,0.0040672403708165395
cleveland-browns,Cleveland Browns,Mansoor Delane,CB,0.5,2,2,2,6.0,6.0,6,6,0.25,2,163.91130247677654,493,0.003050430278112405
cleveland-browns,Cleveland Browns,Akheem Mesidor,EDGE,0.33333333333333337,1,1,1,24.0,24.0,24,24,0.33333333333333337,0,163.91130247677654,493,0.00203362018540827
cleveland-browns,Cleveland Browns,Kayden McDonald,DL,0.33333333333333337,1,1,1,24.0,24.0,24,24,0.33333333333333337,1,163.91130247677654,493,0.00203362018540827
cleveland-browns,Cleveland Browns,Arvell Reese,LB,0.3333333333333333,1,1,1,6.0,6.0,6,6,0.3333333333333333,0,163.91130247677654,493,0.0020336201854082698
cleveland-browns,Cleveland Browns,Jeremiyah Love,RB,0.3333333333333333,1,1,1,6.0,6.0,6,6,0.3333333333333333,0,163.91130247677654,493,0.0020336201854082698
cleveland-browns,Cleveland Browns,Emmanuel Pregnon,IOL,0.3333333333333333,1,1,1,24.0,24.0,24,24,0.3333333333333333,0,163.91130247677654,493,0.0020336201854082698
cleveland-browns,Cleveland Browns,Keldric Faulk,EDGE,0.3333333333333333,1,1,1,24.0,24.0,24,24,0.3333333333333333,0,163.91130247677654,493,0.0020336201854082698
dallas-cowboys,Dallas Cowboys,Jermod McCoy,CB,25.12526205450734,76,69,68,13.43421052631579,12.0,12,21,0.33059555334878077,44,145.69905660377358,448,0.1724462919676626
dallas-cowboys,Dallas Cowboys,Keldric Faulk,EDGE,15.130817610062893,47,46,45,17.95744680851064,20.0,12,20,0.3219322895758062,30,145.69905660377358,448,0.10384979808902213
dallas-cowboys,Dallas Cowboys,Sonny Styles,LB,9.8,31,30,30,9.612903225806452,8.0,4,20,0.31612903225806455,23,145.69905660377358,448,0.06726193174092372
dallas-cowboys,Dallas Cowboys,Akheem Mesidor,EDGE,9.616666666666667,27,25,25,19.333333333333332,20.0,12,26,0.35617283950617284,17,145.69905660377358,448,0.0660036302967908
dallas-cowboys,Dallas Cowboys,C.J. Allen,LB,9.436373165618448,27,26,25,20.14814814814815,20.0,20,24,0.3494953024303129,20,145.69905660377358,448,0.06476619262731759
dallas-cowboys,Dallas Cowboys,Dillon Thieneman,S,7.937631027253669,25,24,24,13.84,12.0,12,20,0.3175052410901468,16,145.69905660377358,448,0.054479632279568826
dallas-cowboys,Dallas Cowboys,Caleb Downs,S,7.444444444444445,22,22,22,10.590909090909092,12.0,6,12,0.3383838383838384,14,145.69905660377358,448,0.05109466470115521
dallas-cowboys,Dallas Cowboys,Mansoor Delane,CB,7.1252620545073375,22,22,21,12.227272727272727,12.0,8,20,0.32387554793215173,16,145.69905660377358,448,0.04890396836188433
dallas-cowboys,Dallas Cowboys,David Bailey,EDGE,5.0419287211740045,15,15,14,5.933333333333334,3.0,3,12,0.3361285814116003,10,145.69905660377358,448,0.034605088314919256
dallas-cowboys,Dallas Cowboys,Avieon Terrell,CB,4.583333333333334,15,15,15,19.466666666666665,20.0,12,20,0.3055555555555556,10,145.69905660377358,448,0.03145753610332317
dallas-cowboys,Dallas Cowboys,Emmanuel McNeil-Warren,S,4.555555555555555,14,13,13,20.071428571428573,20.0,20,21,0.3253968253968254,8,145.69905660377358,448,0.03126688436936363
dallas-cowboys,Dallas Cowboys,Rueben Bain,EDGE,4.461111111111111,16,16,16,10.6875,12.0,6,12,0.27881944444444445,13,145.69905660377358,448,0.03061866847390122
dallas-cowboys,Dallas Cowboys,Colton Hood,CB,4.444444444444445,12,12,12,20.25,20.0,12,29,0.3703703703703704,11,145.69905660377358,448,0.030504277433525497
