team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
kansas-city-chiefs,Kansas City Chiefs,Skyler Bell,WR,1,1,1,3.0,3.0,3,3,,,,,30,0.03333333333333333
kansas-city-chiefs,Kansas City Chiefs,Skyler Gill-Howard,DL,1,1,1,4.0,4.0,4,4,,,,,30,0.03333333333333333
kansas-city-chiefs,Kansas City Chiefs,T.J. Parker,EDGE,1,1,1,1.0,1.0,1,1,,,,,30,0.03333333333333333
kansas-city-chiefs,Kansas City Chiefs,Tacario Davis,CB,1,1,1,4.0,4.0,4,4,,,,,30,0.03333333333333333
kansas-city-chiefs,Kansas City Chiefs,Travis Burke,OT,1,1,1,4.0,4.0,4,4,,,,,30,0.03333333333333333
kansas-city-chiefs,Kansas City Chiefs,Will Lee III,CB,1,1,1,3.0,3.0,3,3,,,,,30,0.03333333333333333
kansas-city-chiefs,Kansas City Chiefs,Zion Young,EDGE,1,1,1,1.0,1.0,1,1,,,,,30,0.03333333333333333
las-vegas-raiders,Las Vegas Raiders,Chris McClellan,DL,2,2,2,4.5,4.5,4,5,,,,,17,0.11764705882352941
las-vegas-raiders,Las Vegas Raiders,Beau Stephens,IOL,1,1,1,6.0,6.0,6,6,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Brian Parker II,OT,1,1,1,4.0,4.0,4,4,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Bryce Boettcher,LB,1,1,1,4.0,4.0,4,4,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Bud Clark,S,1,1,1,4.0,4.0,4,4,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Caden Curry,EDGE,1,1,1,5.0,5.0,5,5,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Carver Willis,OT,1,1,1,7.0,7.0,7,7,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Chris Johnson,CB,1,1,1,2.0,2.0,2,2,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Fernando Mendoza,QB,1,1,1,1.0,1.0,1,1,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Jaishawn Barham,LB,1,1,1,4.0,4.0,4,4,,,,,17,0.058823529411764705
