ingested_at,method,status,section,mock_relative_url,detail
2026-04-06T09:40:13.937022,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/draftwire-2026-curt-popejoy?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_draftwire-2026-curt-popejoy_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:40:20.641148,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/last-man-standig-2026-ben-standig?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_last-man-standig-2026-ben-standig_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:40:26.573783,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/si-2026-gilbert-manzano?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_si-2026-gilbert-manzano_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:40:27.254243,uploaded_html,replaced,mock-drafts,/mock-drafts/2026/si-2026-gilbert-manzano?date=2026-04-01,Parsed from uploaded HTML file: 2026 NFL Mock Draft_ Gilbert Manzano of SI _ NFL Mock Draft Database.html. URL auto-detected from HTML.
2026-04-06T09:45:58.967304,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/fansided-2026-cody-williams?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_fansided-2026-cody-williams_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:04.630582,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/arizona-republic-2026-theo-mackie?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_arizona-republic-2026-theo-mackie_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:10.827434,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/dolphins-wire-2026-jason-sarney?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_dolphins-wire-2026-jason-sarney_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:16.788644,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/usa-today-2026-nick-brinkerhoff?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_usa-today-2026-nick-brinkerhoff_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:23.113017,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/a-to-z-sports-2026-ryan-roberts?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_a-to-z-sports-2026-ryan-roberts_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:29.007151,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/sun-sentinel-2026-david-furones?date=2026-04-04,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_sun-sentinel-2026-david-furones_date=2026-04-04.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:34.891765,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/pro-football-network-2026-t-j-randall?date=2026-04-04,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_pro-football-network-2026-t-j-randall_date=2026-04-04.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:41.229374,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/draft-countdown-2026-brian-bosarge?date=2026-04-04,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_draft-countdown-2026-brian-bosarge_date=2026-04-04.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:49.082257,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/a-to-z-sports-2026-kyle-crabbs?date=2026-04-04,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_a-to-z-sports-2026-kyle-crabbs_date=2026-04-04.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:46:58.523213,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/stadium-rant-2026-charles-north?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_stadium-rant-2026-charles-north_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:05.848951,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/the-big-lead-2026-matt-de-lima?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_the-big-lead-2026-matt-de-lima_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:13.142118,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/rotowire-2026-jim-coventry?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_rotowire-2026-jim-coventry_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:20.009117,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/fantasy-points-2026-brett-whitefield?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_fantasy-points-2026-brett-whitefield_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:26.547577,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/nfl-com-2026-chad-reuter?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_nfl-com-2026-chad-reuter_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:32.706487,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/football-guys-2026-jeff-bell?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_football-guys-2026-jeff-bell_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:39.082273,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/usa-today-2026-jacob-camenker?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_usa-today-2026-jacob-camenker_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:45.264895,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/fox-32-chicago-2026-chris-kwiecinski?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_fox-32-chicago-2026-chris-kwiecinski_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:51.386159,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/sleepercfb-2026-jack-wargo?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_sleepercfb-2026-jack-wargo_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:47:58.749613,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/nfl-com-2026-nick-shook?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_nfl-com-2026-nick-shook_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:48:07.321065,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/nbc-sports-bayarea-2026-matt-maiocco?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_nbc-sports-bayarea-2026-matt-maiocco_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:18.398575,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/packers-si-2026-bill-huber?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_packers-si-2026-bill-huber_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
