author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_correct_player_in_round_rate,avg_same_position_same_round_rate,avg_same_position_plus_minus_one_round_rate,avg_generous_score_points,avg_generous_score_rate,avg_mean_pick_abs_error
Kenneth Arthur,Turf Show Times,1,33.33333333333333,4.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.5,0.75,0.0,0.25,0.5,4.0,0.3333333333333333,
Nick Suss,Nashville Tennessean,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.14285714285714285,7.0,0.3333333333333333,
Brennan Rupp,Packers Wire,1,33.33333333333333,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,6.0,0.3333333333333333,
Devin Sanguinett,Bucs Report,1,33.33333333333333,7.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.42857142857142855,0.14285714285714285,7.0,0.3333333333333333,
Joshua Reed,Baltimore Beatdown,1,33.33333333333333,9.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.3333333333333333,0.3333333333333333,9.0,0.3333333333333333,
Ryan Anderson,LAFB,1,30.303030303030305,10.0,0.30303030303030304,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.2727272727272727,0.36363636363636365,10.0,0.30303030303030304,
Tyler D. Brooke,Acme Packing Company,1,30.0,9.0,0.3,0.1,0.0,0.1,0.0,0.4,1.0,0.1,0.2,0.2,9.0,0.3,
Logan Farlow,Texans Wire,1,29.629629629629626,8.0,0.2962962962962963,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.2222222222222222,0.1111111111111111,8.0,0.2962962962962963,
Ryan Mink,BaltimoreRavens.com,1,29.629629629629626,8.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4444444444444444,0.0,8.0,0.2962962962962963,
Matt St. Jean,Pats Pulpit,1,29.166666666666668,7.0,0.2916666666666667,0.125,0.0,0.125,0.0,0.5,1.0,0.125,0.25,0.0,7.0,0.2916666666666667,
Jimmy Kempski,Philly Voice,1,29.166666666666668,7.0,0.2916666666666667,0.125,0.0,0.0,0.0,0.25,1.0,0.0,0.375,0.125,7.0,0.2916666666666667,
Ryan Talbot,Syracuse.com,1,29.166666666666668,7.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.375,0.875,0.0,0.25,0.375,7.0,0.2916666666666667,
Albert Bainbridge IV,North Jersey,1,28.57142857142857,6.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,6.0,0.2857142857142857,
Brandon Kring,Still Curtain,1,28.57142857142857,6.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.2857142857142857,0.2857142857142857,6.0,0.2857142857142857,
Freddie Boston,Lombardi Ave,1,28.57142857142857,6.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.5714285714285714,6.0,0.2857142857142857,
Greg Auman,Fox Sports,1,28.57142857142857,6.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.42857142857142855,0.0,6.0,0.2857142857142857,
Glenn Erby,Eagles Wire,1,28.205128205128204,11.0,0.28205128205128205,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.9230769230769231,0.0,0.23076923076923078,0.38461538461538464,11.0,0.28205128205128205,
Bill Zimmerman,Windy City Gridiron,1,27.77777777777778,5.0,0.2777777777777778,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,1.0,0.16666666666666666,0.0,0.3333333333333333,5.0,0.2777777777777778,
Mike Kiwak,Bucs Nation,1,27.77777777777778,5.0,0.2777777777777778,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,5.0,0.2777777777777778,
Dean Jones,Riggo's Rag,1,26.666666666666668,4.0,0.26666666666666666,0.4,0.0,0.4,0.0,0.2,1.0,0.2,0.0,0.2,4.0,0.26666666666666666,
Chris Roling,Bengals Wire,1,26.666666666666668,8.0,0.26666666666666666,0.1,0.0,0.3,0.0,0.2,0.9,0.0,0.2,0.4,8.0,0.26666666666666666,
Bill Huber,SI,1,26.666666666666668,8.0,0.26666666666666666,0.1,0.0,0.0,0.0,0.3,0.6,0.0,0.3,0.2,8.0,0.26666666666666666,
Caleb James,GiveMeSport,1,25.925925925925924,7.0,0.25925925925925924,0.3333333333333333,0.0,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.2222222222222222,7.0,0.25925925925925924,
Paul Dehner Jr.,The Athletic,1,25.925925925925924,7.0,0.25925925925925924,0.1111111111111111,0.0,0.1111111111111111,0.0,0.4444444444444444,0.8888888888888888,0.0,0.3333333333333333,0.1111111111111111,7.0,0.25925925925925924,
