mock_relative_url,selection_count,player_drafted_matches,round_one_player_matches,player_to_team_matches,round_matches,mean_pick_abs_error,median_pick_abs_error,player_to_pick_matches,team_to_position_matches,player_to_pick_match_rate,player_to_team_match_rate,round_one_player_match_rate,team_to_position_match_rate,round_match_rate,player_drafted_match_rate,simple_score_points,simple_score_max_points,simple_score_rate,custom_accuracy_score,mock_name,author_name,published_at,external_url,metadata_selection_count
/mock-drafts/2023/sun-sentinel-2023-david-furones?date=2023-04-17,32,32,22,5,22,10.90625,6.5,5,8,0.15625,0.15625,0.6875,0.25,0.6875,1.0,32,96,0.3333333333333333,33.33333333333333,Sun Sentinel,David Furones,04/17/23,https://www.sun-sentinel.com/sports/miami-dolphins/fl-sp-dolphins-draft-perkins-mock-20230410-tbmuwpd3xvhnjjt3vvdm6b3w54-story.html?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/full-press-coverage-2023-carlos-nazario?date=2023-04-10,31,31,23,4,23,11.806451612903226,4.0,4,4,0.12903225806451613,0.12903225806451613,0.7419354838709677,0.12903225806451613,0.7419354838709677,1.0,31,93,0.3333333333333333,33.33333333333333,Full Press Coverage,Carlos Nazario,04/10/23,https://fullpresscoverage.com/2023/04/10/fpc-2023-nfl-mock-draft-5-0-jalen-carter-great-situation/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/the-draft-network-2023-brentley-weissman?date=2023-04-27,31,31,25,3,25,8.483870967741936,6.0,4,6,0.12903225806451613,0.0967741935483871,0.8064516129032258,0.1935483870967742,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,The Draft Network,Brentley Weissman,04/26/23,https://thedraftnetwork.com/nfl-mock-draft-2023-brentley-weissman-final/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/the-huddle-2023-ryan-dodson?date=2023-04-17,31,31,23,4,23,11.161290322580646,8.0,3,5,0.0967741935483871,0.12903225806451613,0.7419354838709677,0.16129032258064516,0.7419354838709677,1.0,31,93,0.3333333333333333,33.33333333333333,The Huddle,Ryan Dodson,04/17/23,https://thehuddle.com/2023/04/17/ryan-dodsons-2023-nfl-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/transfer-portal-cfb-2023-liam-blutman?date=2023-04-26,31,31,23,4,23,9.741935483870968,6.0,3,5,0.0967741935483871,0.12903225806451613,0.7419354838709677,0.16129032258064516,0.7419354838709677,1.0,31,93,0.3333333333333333,33.33333333333333,Transfer Portal CFB,Liam Blutman,04/26/23,https://thetransferportalcfb.com/liam-blutmans-final-2023-nfl-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/nfl-com-2023-peter-schrager?date=2023-04-27,31,31,25,3,25,8.612903225806452,6.0,3,4,0.0967741935483871,0.0967741935483871,0.8064516129032258,0.12903225806451613,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,NFL.com,Peter Schrager,04/27/23,https://www.nfl.com/news/peter-schrager-2023-nfl-mock-draft-2-0-titans-trade-up-for-c-j-stroud-vikings-gi?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/wgr-550-2023-zach-jones?date=2023-04-25,31,31,25,3,25,8.064516129032258,4.0,3,8,0.0967741935483871,0.0967741935483871,0.8064516129032258,0.25806451612903225,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,WGR 550,Zach Jones,04/25/23,https://www.audacy.com/wgr550/sports/bills/jones-2023-nfl-mock-draft-3-0?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/draftwire-2023-curt-popejoy?date=2023-04-26,32,32,24,4,24,12.46875,7.5,3,7,0.09375,0.125,0.75,0.21875,0.75,1.0,32,96,0.3333333333333333,33.33333333333333,Draftwire,Curt Popejoy,04/26/23,https://draftwire.usatoday.com/lists/2023-nfl-draft-final-2-round-projections/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/la-times-2023-sam-farmer?date=2023-04-25,31,31,23,4,23,12.35483870967742,7.0,2,6,0.06451612903225806,0.12903225806451613,0.7419354838709677,0.1935483870967742,0.7419354838709677,1.0,31,93,0.3333333333333333,33.33333333333333,LA Times,Sam Farmer,04/25/23,https://www.latimes.com/sports/story/2023-04-25/final-nfl-mock-draft-2023-sam-farmer?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/uproxx-2023?date=2023-04-26,31,31,25,3,25,7.67741935483871,5.0,2,5,0.06451612903225806,0.0967741935483871,0.8064516129032258,0.16129032258064516,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,Uproxx,Staff,04/26/23,https://uproxx.com/sports/nfl-mock-draft-2023/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/draftwire-2023-natalie-miller?date=2023-04-21,32,32,24,4,24,11.90625,7.0,2,6,0.0625,0.125,0.75,0.1875,0.75,1.0,32,96,0.3333333333333333,33.33333333333333,Draftwire,Natalie Miller,04/21/23,https://draftwire.usatoday.com/lists/2023-nfl-final-2-round-mock-draft-trades-predictions/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/pro-football-focus-2023-nfl-stock-exchange?date=2023-04-20,32,32,24,4,24,9.875,6.0,2,5,0.0625,0.125,0.75,0.15625,0.75,1.0,32,96,0.3333333333333333,33.33333333333333,Pro Football Focus,NFL Stock Exchange,04/20/23,https://www.pff.com/news/draft-nfl-stock-exchange-2023-three-round-mock-draft-darnell-wright?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/pro-football-network-2023-arif-hasan?date=2023-04-25,32,32,24,4,24,11.15625,5.0,2,5,0.0625,0.125,0.75,0.15625,0.75,1.0,32,96,0.3333333333333333,33.33333333333333,Pro Football Network,Arif Hasan,04/25/23,https://www.profootballnetwork.com/3-round-2023-nfl-mock-draft-rodgers-trade-will-anderson-cj-stroud-titans/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/pro-football-network-2023-kyle-yates?date=2023-04-13,32,32,24,4,24,11.34375,4.5,2,6,0.0625,0.125,0.75,0.1875,0.75,1.0,32,96,0.3333333333333333,33.33333333333333,Pro Football Network,Kyle Yates,04/13/23,https://www.profootballnetwork.com/2023-nfl-mock-draft-anderson-texans-robinson-falcons-smith-njigba-eagles/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/courier-post-2023-josh-friedman?date=2023-04-26,31,31,25,3,25,9.580645161290322,7.0,1,5,0.03225806451612903,0.0967741935483871,0.8064516129032258,0.16129032258064516,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,Courier Post,Josh Friedman,04/26/23,https://www.courierpostonline.com/story/sports/nfl/2023/04/26/nfl-mock-draft-philadelphia-eagles-2023/70138981007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/gambling-com-2023-richard-janvrin?date=2023-04-18,31,31,25,3,25,9.0,7.0,1,3,0.03225806451612903,0.0967741935483871,0.8064516129032258,0.0967741935483871,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,Gambling.com,Richard Janvrin,04/18/23,https://www.gambling.com/us/news/2023-nfl-mock-draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/pro-football-focus-2023-sam-monson?date=2023-04-10,31,31,25,3,25,9.903225806451612,7.0,1,4,0.03225806451612903,0.0967741935483871,0.8064516129032258,0.12903225806451613,0.8064516129032258,1.0,31,93,0.3333333333333333,33.33333333333333,Pro Football Focus,Sam Monson,04/10/23,https://www.pff.com/news/draft-2023-nfl-mock-draft-panthers-anthony-richardson-cj-stroud-slides?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/nfl-draft-diamonds-2023-jimmy-williams?date=2023-04-24,32,32,24,4,24,11.84375,5.0,1,2,0.03125,0.125,0.75,0.0625,0.75,1.0,32,96,0.3333333333333333,33.33333333333333,NFL Draft Diamonds,Jimmy Williams,04/23/23,https://nfldraftdiamonds.com/2023/04/2023-three-round-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/draft-utopia-2023-jason-bantle?date=2023-04-27,32,32,23,4,23,13.4375,6.5,3,7,0.09375,0.125,0.71875,0.21875,0.71875,1.0,31,96,0.3229166666666667,32.29166666666667,Draft Utopia,Jason Bantle,04/27/23,http://draftutopia.com/jason2023nflmockdraft.html?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/windy-city-gridiron-2023-bill-zimmerman?date=2023-04-25,32,32,25,3,25,10.75,4.5,1,5,0.03125,0.09375,0.78125,0.15625,0.78125,1.0,31,96,0.3229166666666667,32.29166666666667,Windy City Gridiron,Bill Zimmerman,04/25/23,https://www.windycitygridiron.com/2023/4/25/23695763/2023-nfl-draft-mock-first-round-and-chicago-bears-four-round-protection-for-justin-fields?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/draft-utopia-2023-chris-ransom?date=2023-04-27,31,31,22,4,22,15.64516129032258,8.0,4,8,0.12903225806451613,0.12903225806451613,0.7096774193548387,0.25806451612903225,0.7096774193548387,1.0,30,93,0.3225806451612903,32.25806451612903,Draft Utopia,Chris Ransom,04/27/23,http://draftutopia.com/2023nflmockdraft.html?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/the-huddle-2023-steve-gallo?date=2023-04-13,31,31,22,4,22,12.03225806451613,6.0,4,8,0.12903225806451613,0.12903225806451613,0.7096774193548387,0.25806451612903225,0.7096774193548387,1.0,30,93,0.3225806451612903,32.25806451612903,The Huddle,Steve Gallo,04/13/23,https://thehuddle.com/2023/04/13/steve-gallos-2023-nfl-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/eleven-warriors-2023-dan-hope?date=2023-04-26,31,31,24,3,24,9.548387096774194,4.0,4,6,0.12903225806451613,0.0967741935483871,0.7741935483870968,0.1935483870967742,0.7741935483870968,1.0,30,93,0.3225806451612903,32.25806451612903,Eleven Warriors,Dan Hope,04/25/23,https://www.elevenwarriors.com/ohio-state-football/2023/04/138510/2023-nfl-mock-draft-projections-for-every-first-round-pick-and-where-ohio-state-s-draft-prospects-will-end-up?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/cbs-2023-kyle-stackpole?date=2023-04-27,31,31,26,2,26,7.129032258064516,4.0,4,4,0.12903225806451613,0.06451612903225806,0.8387096774193549,0.12903225806451613,0.8387096774193549,1.0,30,93,0.3225806451612903,32.25806451612903,CBS,Kyle Stackpole,04/27/23,https://www.cbssports.com/nfl/draft/news/2023-nfl-mock-draft-steelers-trade-into-top-10-patriots-move-up-for-qb-while-lions-take-one-at-no-6/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/cards-wire-2023-jess-root?date=2023-04-26,31,31,24,3,24,10.258064516129032,6.0,3,6,0.0967741935483871,0.0967741935483871,0.7741935483870968,0.1935483870967742,0.7741935483870968,1.0,30,93,0.3225806451612903,32.25806451612903,Cards Wire,Jess Root,04/26/23,https://cardswire.usatoday.com/lists/nfl-mock-draft-cardinals-trade-back-qbs-are-top-4-picks/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/nfl-com-2023-eric-edholm?date=2023-04-24,31,31,26,2,26,8.32258064516129,4.0,3,3,0.0967741935483871,0.06451612903225806,0.8387096774193549,0.0967741935483871,0.8387096774193549,1.0,30,93,0.3225806451612903,32.25806451612903,NFL.com,Eric Edholm,04/24/23,https://www.nfl.com/news/eric-edholm-2023-nfl-mock-draft-3-0-raiders-trade-up-for-c-j-stroud-texans-pass-?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/bleeding-green-nation-2023-ben-natan?date=2023-04-27,31,31,22,4,22,14.870967741935484,8.0,2,4,0.06451612903225806,0.12903225806451613,0.7096774193548387,0.12903225806451613,0.7096774193548387,1.0,30,93,0.3225806451612903,32.25806451612903,Bleeding Green Nation,Ben Natan,04/27/23,https://www.bleedinggreennation.com/2023/4/27/23700343/2023-nfl-mock-draft-predicting-31-first-round-picks-final-philadelphia-eagles-will-anderson-jahmyr?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/patriots-wire-2023-cam-garrity?date=2023-04-11,31,31,24,3,24,10.548387096774194,5.0,2,5,0.06451612903225806,0.0967741935483871,0.7741935483870968,0.16129032258064516,0.7741935483870968,1.0,30,93,0.3225806451612903,32.25806451612903,Patriots Wire,Cam Garrity,04/11/23,https://patriotswire.usatoday.com/lists/patriots-pull-off-trade-full-first-round-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/sportsnaut-2023-andrew-buller-russ?date=2023-04-27,31,31,24,3,24,12.870967741935484,8.0,2,8,0.06451612903225806,0.0967741935483871,0.7741935483870968,0.25806451612903225,0.7741935483870968,1.0,30,93,0.3225806451612903,32.25806451612903,Sportsnaut,Andrew Buller-Russ,04/27/23,https://sportsnaut.com/2023-nfl-mock-draft-final-predictions/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
