team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
chicago-bears,Chicago Bears,Riley Moss,CB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Shaka Heyward,LB,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Sidy Sow,OT,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Steve Avila,IOL,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,T.J. Bass,IOL,1,1,1,6.0,6.0,6,6,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Tank Bigsby,RB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Thomas Incoom,EDGE,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Tyler Lacy,DL,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Viliami Fehoko,EDGE,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Will McDonald IV,EDGE,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Xavier Hutchinson,WR,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Zach Harrison,EDGE,1,1,1,3.0,3.0,3,3,,,,,134,0.007462686567164179
cincinnati-bengals,Cincinnati Bengals,Sam LaPorta,TE,3,3,3,2.3333333333333335,2.0,2,3,,,,,52,0.057692307692307696
cincinnati-bengals,Cincinnati Bengals,Dante Stills,DL,2,2,2,5.5,5.5,5,6,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Emmanuel Forbes,CB,2,2,2,1.5,1.5,1,2,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Mekhi Garner,CB,2,2,2,4.5,4.5,4,5,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Ronnie Bell,WR,2,2,2,6.5,6.5,6,7,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Tucker Kraft,TE,2,2,2,2.5,2.5,2,3,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Tyler Steen,OT,2,2,2,3.0,3.0,3,3,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Zach Charbonnet,RB,2,2,2,3.0,3.0,2,4,,,,,52,0.038461538461538464
cincinnati-bengals,Cincinnati Bengals,Adam Korsak,P,1,1,1,5.0,5.0,5,5,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Aidan O'Connell,QB,1,1,1,6.0,6.0,6,6,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Andrew Vorhees,IOL,1,1,1,5.0,5.0,5,5,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Atonio Mafi,IOL,1,1,1,6.0,6.0,6,6,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Blake Whiteheart,TE,1,1,1,7.0,7.0,7,7,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Bryan Bresee,DL,1,1,1,1.0,1.0,1,1,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Bryce Baringer,P,1,1,1,7.0,7.0,7,7,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Carrington Valentine,CB,1,1,1,6.0,6.0,6,6,,,,,52,0.019230769230769232
cincinnati-bengals,Cincinnati Bengals,Chase Brown,RB,1,1,1,4.0,4.0,4,4,,,,,52,0.019230769230769232
