year,team_slug,team_name,player_norm,player_name,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,sources,source_count,source_record_count,position_sources,school_sources,visit_type_sources,backfilled_position,backfilled_school,backfilled_visit_type,raw_visit_codes,raw_visit_markers
2025,san-francisco-49ers,San Francisco 49ers,willjohnson,Will Johnson,CB,CB,Michigan,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,san-francisco-49ers,San Francisco 49ers,xaviercarlton,Xavier Carlton,Defensive End,DE,California,pro_day_or_campus_meeting_workout|pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,PRO,
2025,san-francisco-49ers,San Francisco 49ers,zahfrazier,Zah Frazier,Cornerback,CB,Texas-San Antonio,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
2025,seattle-seahawks,Seattle Seahawks,alijennings,Ali Jennings,WR,WR,Virginia Tech,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,brycecabeldue,Bryce Cabeldue,Offensive Guard,OL,Kansas,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,calebetienne,Caleb Etienne,Offensive Tackle,OT,BYU,virtual_meeting,reported,walterfootball,1,1,1,1,1,False,False,False,VIR,
2025,seattle-seahawks,Seattle Seahawks,carlinvigers,Car'lin Vigers,CB,CB,Louisiana Monroe,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,charlesgrant,Charles Grant,OT,OT,William & Mary,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,chaselundt,Chase Lundt,Offensive Tackle,OL,Connecticut,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,darienporter,Darien Porter,CB,CB,Iowa State,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,donovanjackson,Donovan Jackson,OL,OL,Ohio State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,dontaemanning,Dontae Manning,Cornerback,CB,Oregon,private_workout,reported,walterfootball,1,1,1,1,1,False,False,False,WOR,
2025,seattle-seahawks,Seattle Seahawks,donteamanning,Dontea Manning,DB,DB,Oregon,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,dylanfairchild,Dylan Fairchild,OL,OL,Georgia,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,esapole,Esa Pole,OL,OL,Washington State,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,jacksonslater,Jackson Slater,Offensive Guard,G,Sacramento State,top_30_visit,reported,walterfootball,1,1,1,1,1,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,jalenmilroe,Jalen Milroe,Quarterback,QB,Alabama,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,jaredwilson,Jared Wilson,Center,CENTER,Georgia,top_30_visit|combine_meeting,reported,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,jarquezhunter,Jarquez Hunter,Running Back,RB,Auburn,virtual_meeting,reported,walterfootball,1,1,1,1,1,False,False,False,VIR,
2025,seattle-seahawks,Seattle Seahawks,jaxsondart,Jaxson Dart,QB,QB,Ole Miss,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,jaylinnoel,Jaylin Noel,WR,WR,Iowa State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,jihaadcampbell,Jihaad Campbell,Linebacker,LB,Alabama,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,kylewilliams,Kyle Williams,WR,WR,Washington State,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,masontaylor,Mason Taylor,TE,TE,LSU,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,micahbernard,Micah Bernard,RB,RB,Utah,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,mykelwilliams,Mykel Williams,Defensive End,DE,Georgia,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,nashjones,Nash Jones,Offensive Guard,G,Texas State,pro_day_or_campus_meeting_workout|pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,PRO,
2025,seattle-seahawks,Seattle Seahawks,nickemmanwori,Nick Emmanwori,Safety,S,South Carolina,top_30_visit|combine_meeting,reported,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,COM|T30,
2025,seattle-seahawks,Seattle Seahawks,nickjackson,Nick Jackson,LB,LB,Iowa,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,omarithomas,Omari Thomas,Defensive Tackle,DT,Tennessee,virtual_meeting,reported,walterfootball,1,1,1,1,1,False,False,False,VIR,
2025,seattle-seahawks,Seattle Seahawks,princelyumanmielen,Princely Umanmielen,DE,DE,Ole Miss,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,quincyriley,Quincy Riley,CB,CB,Louisville,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,quinnewers,Quinn Ewers,QB,QB,Texas,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,sambrown,Sam Brown Jr,Wide Receiver,WR,Miami,combine_meeting,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,COM,
2025,seattle-seahawks,Seattle Seahawks,savionwilliams,Savion Williams,WR,WR,TCU,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,shavonrevel,Shavon Revel,Cornerback,CB,East Carolina,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,shemarstewart,Shemar Stewart,Defensive End,DE,Texas A&M,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,tateratledge,Tate Ratledge,OL,OL,Georgia,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,seattle-seahawks,Seattle Seahawks,tetairoamcmillan,Tetairoa McMillan,Wide Receiver,WR,Arizona,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,traeshonholden,Traeshon Holden,Wide Receiver,WR,Oregon,pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,WOR,
2025,seattle-seahawks,Seattle Seahawks,tyrobinson,Ty Robinson,Defensive Tackle,DL,Nebraska,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,tylershough,Tyler Shough,Quarterback,QB,Louisville,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,willjohnson,Will Johnson,Cornerback,CB,Michigan,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,seattle-seahawks,Seattle Seahawks,zahfrazier,Zah Frazier,Cornerback,CB,Texas-San Antonio,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,azareyehthomas,Azareye'h Thomas,CB,CB,Florida State,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,bjgreen,BJ Green II,DE,DE,Colorado,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,barrettcarter,Barrett Carter,LB,LB,Clemson,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,benjaminmorrison,Benjamin Morrison,CB,CB,Notre Dame,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,carlinvigers,Car'lin Vigers,CB,CB,Louisiana Monroe,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,carsonbruener,Carson Bruener,LB,LB,Washington,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,cobeebryant,Cobee Bryant,CB,CB,Kansas,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,dannystrigow,Danny Strigow,DL,DL,Minnesota,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
