year,source,source_priority,source_url,team_slug,team_name,player_name,player_norm,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,section_label,raw_visit_codes,raw_visit_markers,note
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,A.J. Epenesa,ajepenesa,DE,DE,Iowa,combine_meeting,reported,,,,Iowa DE A.J. Epenesa said he met with the Falcons at the Combine. ( Thor Nystrom )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Anfernee Jennings,anferneejennings,LB,LB,Alabama,meeting_unspecified,reported,,,,The Falcons also met with South Carolina LB T.J. Brunson and Alabama LB Anfernee Jennings . ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Ben Kotwica,benkotwica,,,,combine_meeting,reported,,,,Georgia Southern K Tyler Bass met with Falcons ST coordinator Ben Kotwica at the Combine. ( D. Orlando Ledbetter )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Charlie Taumoepeau,charlietaumoepeau,TE,TE,Portland State,senior_bowl_meeting,reported,,,,"Atlanta met with SMU WR James Proche , Portland State TE Charlie Taumoepeau , Houston OT Josh Jones , Wisconsin LB Zack Baun , Georgia Southern K Tyler Bass and Michigan S Josh Metellus Wednesday at the Senior Bowl. ( Charlie Campbell )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Colton McKivitz,coltonmckivitz,OT,OT,West Virginia,senior_bowl_meeting,reported,,,,Atlanta met with Wyoming LB Logan Wilson and West Virginia OT Colton McKivitz Tuesday at the Senior Bowl. ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Curtis Weaver,curtisweaver,DE,DE,Boise State,general_visit,scheduled,,,,Boise State DE Curtis Weaver had a pre-draft visit scheduled with the Falcons. ( Justin Melo )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Davion Taylor,daviontaylor,LB,LB,Colorado,meeting_unspecified,reported,,,,Colorado LB Davion Taylor has had a video conference interview with the Falcons. ( Nicki Jhabvala )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Davion Taylor,daviontaylor,LB,LB,Colorado,meeting_unspecified,scheduled,,,,Colorado LB Davion Taylor had a pre-draft meeting scheduled with the Falcons via video conference. ( Justin Melo )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Derrick Brown,derrickbrown,DT,DT,Auburn,combine_meeting,reported,,,,"The Falcons have met with Auburn DT Derrick Brown , Auburn DL Marlon Davidson and South Carolina Javon Kinlaw at the Combine. ( William McFadden )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Ezra Cleveland,ezracleveland,OT,OT,Boise State,combine_meeting|private_workout,reported|scheduled,,,,The Falcons had a formal Combine interview and scheduled a private workout with Boise State OT Ezra Cleveland . ( Justin M )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Grant Delpit,grantdelpit,S,S,LSU,,reported,,,,"LSU S Grant Delpit has had video conferences with 15 teams, including the Falcons. ( Aaron Wilson )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Hakeem Adeniji,hakeemadeniji,OT,OT,Kansas,combine_meeting,reported,,,,"The Falcons had a formal and informal interview with Kansas OT Hakeem Adeniji , who projects as a guard in the NFL, at the Combine. ( Ledbetter )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,J.K. Dobbins,jkdobbins,RB,RB,Ohio State,combine_meeting,reported|scheduled,,,,Ohio State RB J.K. Dobbins met informally with the Falcons at the Combine and will have a formal interview Friday. ( Ledbetter )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,James Costin,jamescostin,DL,DL,Miami (Ohio),pro_day_meeting,reported,,,,The Falcons met with Miami (Ohio) DL James Costin at his pro day. ( Tony Pauline )
