year,team_slug,team_name,player_norm,player_name,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,sources,source_count,source_record_count,position_sources,school_sources,visit_type_sources,backfilled_position,backfilled_school,backfilled_visit_type,raw_visit_codes,raw_visit_markers
2026,kansas-city-chiefs,Kansas City Chiefs,zhensotelo,Zhen Sotelo,Offensive Guard,G,Hawaii,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
2026,las-vegas-raiders,Las Vegas Raiders,anthonysmith,Anthony Smith,WR,WR,ECU,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,benmann,Ben Mann,LS,LS,Boston College,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,brandoncisse,Brandon Cisse,CB,CB,South Carolina,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,cjdonaldson,C.J. Donaldson,Fullback,FB,Ohio State,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
2026,las-vegas-raiders,Las Vegas Raiders,calebdouglas,Caleb Douglas,Wide Receiver,WR,Texas Tech,top_30_visit|pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30|WOR,
2026,las-vegas-raiders,Las Vegas Raiders,calebdowns,Caleb Downs,S,S,Ohio State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,camporter,Cam Porter,Running Back,RB,Northwestern,virtual_meeting,reported,walterfootball,1,1,1,1,1,False,False,False,VIR,
2026,las-vegas-raiders,Las Vegas Raiders,chasebisontis,Chase Bisontis,G,G,Texas A&M,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,chrisbell,Chris Bell,Wide Receiver,WR,Louisville,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,chrisjohnson,Chris Johnson,Cornerback,CB,San Diego State,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,chrismcclellan,Chris McClellan,Defensive Tackle,DT,Missouri,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,christenmiller,Christen Miller,DT,DT,Georgia,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,christianmiller,Christian Miller,Defensive Tackle,DT,Georgia,top_30_visit,reported,walterfootball,1,1,1,1,1,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,coltonhood,Colton Hood,CB,CB,Tennessee,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,dangeloponds,D'Angelo Ponds,CB,CB,Indiana,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,dayleneverette,Daylen Everette,Cornerback,CB,Georgia,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,denzelboston,Denzel Boston,WR,WR,Washington,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,emmettjohnson,Emmett Johnson,RB,RB,Nebraska,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,fernandomendoza,Fernando Mendoza,Quarterback,QB,Indiana,top_30_visit|combine_meeting|pro_day_or_campus_meeting_workout|pro_day_meeting|private_workout,reported|scheduled,nfltraderumors|walterfootball,2,4,2,2,2,False,False,False,PRO|T30,
2026,las-vegas-raiders,Las Vegas Raiders,germiebernard,Germie Bernard,WR,WR,Alabama,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,jmaritaylor,J'Mari Taylor,RB,RB,Virginia,top_30_visit|virtual_meeting,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,jackdingle,Jack Dingle,Linebacker,LB,Cincinnati,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,jakegolday,Jake Golday,LB,LB,Cincinnati,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,josiahgreen,Josiah Green,Defensive Tackle,DT,Duke,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
2026,las-vegas-raiders,Las Vegas Raiders,kcconcepcion,K.C. Concepcion,Wide Receiver,WR,Texas A&M,top_30_visit|combine_meeting,reported|scheduled,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,T30,
